#Official	logFC
MRPL49	0.248000000000001
RAB3IP	0.564000000000001
TRMT2A	-1.01
CD300LF	-0.619
SNX19	0.430999999999999
NUPR1	0.414000000000001
RPL24	-0.565
CDCA7L	0.725
ALG11	0.616
CDC27	0.422999999999998
DNAJC6	0.890000000000001
FANCG	0.425
B3GAT3	-0.969999999999999
PCYT1B	1.016
PGP	-0.640000000000001
TMEM8B	-0.695
CNNM2	0.345999999999999
TNFRSF4	-1.449
RUBCN	0.591000000000001
EHD3	0.706999999999999
PLEKHM2	-0.548
IKBKG	-0.638
CYBC1	-0.771999999999998
NUGGC	1.079
CCDC107	-0.82
MCFD2	0.462999999999999
ITIH1	-1.075
ARHGDIA	-0.816000000000001
DERA	0.272
ZSCAN29	0.593
DIPK1A	0.811999999999999
TYMP	-1.03
JMJD7	-0.624
LARP1	0.555
MED1	0.539
LOC389831	1.946
IFI27L1	0.901000000000001
TMEM175	-0.67
RABEPK	-0.431000000000001
MAP3K14	-0.645999999999999
TCAP	-1.057
RAI1	-0.701
CD2BP2	-0.381
ADAP1	-0.628
ZFAND2B	-0.556999999999999
TEPSIN	-0.600000000000001
PITPNB	0.334999999999999
IMPA2	-0.845000000000001
HGH1	-0.906000000000001
C12orf57	-1.196
ADAMTS6	1.29
CRTC1	-0.776
PLSCR4	1.401
UBXN2A	0.46
SPNS1	-0.858000000000001
SGSM3	-0.635
NUDC	-0.633000000000001
U2AF1L4	-0.805000000000001
SMARCD2	-0.369
COQ4	-0.857
CAPN10	-0.818000000000001
PC	-1.096
NDC1	0.47
IGKC	2.359
ANAPC15	-0.661
PACS1	-0.474
PSMC3IP	0.413
MAN1B1	-0.692
VGLL4	0.533
ATG4A	0.314
ZSCAN18	-0.841
FRS3	-0.723
MAPK9	0.302
ARHGEF1	-0.632999999999999
LRRC47	-0.359999999999999
CHCHD10	-0.977
ZNF581	-0.682
IGLC3	2.627
OTULIN	0.388
RPS5	-0.882
HVCN1	-0.555999999999999
RPL10	-0.683999999999999
PNMA1	0.447000000000001
COG6	0.434
C1orf35	-0.821
ITGB1	0.552999999999999
CCDC9	-0.734
PSENEN	-0.58
CTDNEP1	-0.424000000000001
RPL36A	-0.693999999999999
UCKL1	-0.831
STX17	0.714
ARMC5	-0.689
ARHGAP21	0.783000000000001
MPG	-1.158
ARL16	-0.322999999999999
SMPD2	-0.467
TEN1	-0.862
SCIN	0.618
FHL2	0.621
GGA1	-0.641999999999999
HPS5	0.429
EPG5	0.833
IGLL5	2.468
SGK3	0.949
EDRF1	0.352
UBL7	-0.535
PPAT	0.755
CABIN1	-0.809000000000001
MXD4	-0.875999999999999
PPP4C	-0.676
PACS2	-0.638
BAMBI	1.191
PSMG3	-0.774999999999999
ZNF385D	-0.627000000000001
GPAA1	-1.042
VPS13A	0.803
AKR7A2	-0.673999999999999
ENTPD4	0.479000000000001
RFC3	0.694999999999999
CORO1A	-0.815
S100A13	-0.722
MLST8	-1.007
IGLC1	2.715
THEM6	-1.027
PRKG1	1.018
MRPL28	-0.801
PRXL2B	-0.501
SOCS4	0.532
NR4A1	-1.269
SPIN1	0.601000000000001
WASL	0.262
ZNF226	-0.356
YJU2	-0.597
RPL17	-0.522
SEMA6B	-1.53
TFRC	0.738
LPCAT1	-0.338000000000001
NPIPB13	1.411
ADCK5	-1.1
PRR14	-0.558
ACADS	-1.078
ACOT8	-0.701000000000001
TMEM129	-0.652000000000001
FAXDC2	0.826000000000001
DNAJC14	0.471
ZNF664	0.604999999999999
SH2B2	-0.875999999999999
RPS28	-1.356
ESF1	0.497
MBOAT7	-0.782
MRTFA	-0.467000000000001
CFAP97D1	0.566
GSTK1	-0.443
ZNF219	-0.998
ANXA11	-0.552
VEGFA	0.627000000000001
RPLP0	-0.728
ACAP3	-0.687000000000001
NDUFB5	-0.312999999999999
KCNQ1	-0.548
RPL30	-0.492000000000001
THAP3	-0.728999999999999
RBM15B	-0.270999999999999
TRIM5	0.9
ARL6IP1	0.456
COMT	-0.845000000000001
HMG20B	-0.734999999999999
WDR83	-0.672000000000001
SKA2	0.452
INPP4A	0.385
RPS19	-0.978
UBE3B	0.363999999999999
TLK1	0.559000000000001
EEF1B2	-0.583
PKD2	0.664
CATSPER1	-0.869
PTGS1	0.569000000000001
TNK2	-0.734999999999999
ELOVL7	1.003
FAM98C	-0.693999999999999
RPL36	-1.172
TCEA1	0.302999999999999
SDF4	-0.577
CAMK1	-0.902000000000001
TMEM259	-0.645999999999999
HIGD2A	-0.686
RPL4	-0.545
SLC25A45	-0.599
AKT2	-0.344000000000001
DEFA1	2.558
REEP5	-0.285
LILRA1	-0.568
POLR1D	-0.321999999999999
TMEM53	-0.684
JPT1	-0.717000000000001
XPOT	0.415000000000001
BABAM2	-0.372
BAG6	-0.327
UBTD1	-1.008
MCRS1	-0.554
TPI1	-0.507999999999999
HARBI1	0.387
RPL39	-0.598000000000001
FBXO34	0.692
TNFRSF1B	-0.452999999999999
CLCN3	0.554
TOM1L2	-0.359
CEP192	0.507
NEK4	0.562
D2HGDH	-0.997999999999999
HEATR5B	0.77
DCAF15	-0.584
ZBTB38	0.758000000000001
MYCBP2	0.747999999999999
RPL23A	-0.654
CENPM	1.226
PPP1R14B	-0.621
KHDC4	0.288
POLR2L	-1.194
SLC6A16	0.621
DNASE1L3	-1.206
PHRF1	-0.5
AP4M1	-0.498
MOSPD3	-0.935
TTLL5	0.447
RECQL5	-0.459999999999999
OAS3	1.948
FSCN1	-0.891
UBALD1	-1.169
TTC7B	0.609
CPTP	-0.828
AP1S3	0.431
SPIN4	0.839
TMEM222	-0.729000000000001
MFSD10	-0.954999999999999
PSMB3	-0.664
CEP295	0.568999999999999
DENND2C	0.688
ROCK2	0.750999999999999
STX4	-0.426
RPS15A	-0.561
ILDR2	1.129
LIMS1	0.597999999999999
MYLK	1.014
MED16	-0.919
PRIM2	0.343999999999999
CSNK1G2	-0.632
P2RY12	0.430000000000001
GALM	1.04
KIFC2	-1.097
MTMR1	-0.318999999999999
TAZ	-0.555999999999999
SMIM29	-0.801
SRP54	0.318
BLVRB	-0.959
BRF1	-0.749000000000001
FAM174C	-1.492
MYCL	-0.731999999999999
RNF126	-0.911
DMAP1	-0.552
CLCN1	-1.246
CCDC77	-0.295
HMGCS1	0.491999999999999
PLPP3	0.855
CEP44	0.398000000000001
SCUBE1	-0.696000000000001
TMEM203	-0.558999999999999
MMD	0.784000000000001
ST14	-0.802
CD24	1.275
TALDO1	-0.668999999999999
LIME1	-1.318
ACSF2	-0.538
ERCC1	-0.57
RAB3A	-0.682
RABL6	-0.782
PLD4	-1.314
DPP8	0.518000000000001
CDPF1	-0.735
ARAP1	-0.640000000000001
SENP5	0.241
RPRD2	0.430999999999999
ELOF1	-0.568000000000001
INTS4	0.253
RABEP1	0.380000000000001
PRRG4	1.162
GPD2	0.635999999999999
PCED1A	-0.741999999999999
C16orf86	-0.968
PGGHG	-0.947000000000001
MYO1G	-0.59
TFEB	-0.849
WDR74	-0.612
BAZ1B	0.391999999999999
SLFN12	0.665999999999999
FAP	1.724
SLC39A14	0.839
PRMT3	0.374
COMMD6	-0.491
NAGPA	-0.883
CIAO3	-0.864
SOS1	0.639999999999999
FAM53B	-0.374999999999998
RANBP9	0.577
CMC4	-0.489
TGM3	-1.463
SEMA7A	-0.818000000000001
CDC34	-0.802999999999999
CAPZB	-0.395
FASTKD5	0.429
LRP12	0.723
PES1	-0.687999999999999
LCORL	0.245
KCTD17	-0.936
PTOV1	-0.83
GNPTAB	0.444000000000001
CNOT1	0.390000000000001
RPL18	-0.790000000000001
NCKAP1	0.855
GMEB2	-0.382
FANCM	0.596
MRPL20	-0.588999999999999
RWDD1	-0.353
SMC3	0.511000000000001
LTBP3	-1.072
ADCK2	-0.683
GUK1	-1.003
CHMP1A	-0.622
DHX15	0.327
SDSL	-1.364
NDUFA3	-0.923999999999999
JMJD8	-0.758000000000001
PLGLB2	1.137
CMPK2	1.834
CLDN12	0.647
TRIM28	-0.647
FAM110D	-0.681
PARM1	1.542
RARB	-0.207
LSM8	-0.315
RBBP8	0.459999999999999
SLC10A7	0.497
GPATCH3	-0.468
AIFM3	-1.051
VAMP8	-0.626000000000001
NOC2L	-0.606
CACTIN	-0.797
PNPLA2	-0.66
BOD1	-0.453
ZSWIM7	-0.445
AP4E1	0.525
USE1	-0.715
ATP6V1F	-0.586
SCNN1D	-1.203
SPAG8	-0.766
ENG	-1.062
UBR7	0.286
PATL1	0.718999999999999
SRF	-0.425000000000001
TCF25	-0.539
USP48	0.293999999999999
FZR1	-0.668999999999999
ADRM1	-0.604000000000001
KLHL24	0.619
TRPM4	-1.113
CCDC93	0.488
CDIPT	-0.58
INO80D	0.652000000000001
TCTEX1D1	1.263
HDHD3	-0.565
CLNS1A	-0.394
GABARAP	-0.57
SPHK2	-0.78
ZNHIT1	-0.786000000000001
SLC17A5	0.385999999999999
PSMD5	0.454999999999998
VPS39	0.269
EFR3A	0.600999999999999
CHCHD5	-1.065
ARHGEF4	-1.226
DNLZ	-0.986999999999999
ABCC4	0.863
KLHL20	0.529
RAB30	0.903
PRKRIP1	-0.423999999999999
DTX2	-0.704000000000001
NEURL4	-0.503
HBS1L	0.407
RNF25	-0.438000000000001
NDUFV1	-0.886000000000001
FANCL	0.596
PAWR	0.641
BCL2L15	1.225
PDE5A	0.835
MRPL52	-0.781
OGFR	-0.697000000000001
PLEKHO1	-0.639999999999999
FASTK	-0.84
VEGFC	0.983
SLC25A28	-0.503
SLC38A2	0.705
CRTC2	-0.417999999999999
MIER3	0.595999999999999
NPDC1	-1.456
ZC3H6	0.593999999999999
COPS7A	-0.308
RCCD1	0.442
DHX33	0.412
SLC18A2	1.244
TMEM101	-0.473000000000001
DES	-1.451
PPP1R32	-0.731000000000001
PTPRCAP	-1.358
TXNDC11	0.540000000000001
ATG101	-0.627000000000001
YRDC	0.392
SLC49A3	-0.843
DHRS4	-0.707000000000001
CSNK1G1	0.508000000000001
ANTKMT	-1.352
GET4	-0.624000000000001
PLD1	0.569
ARG2	0.837
SNTA1	-0.838
ZBTB43	0.706
PCOLCE	-0.879
FAF2	0.298999999999999
TAB1	-0.603
GOLGA5	0.347999999999999
KCNN4	-0.973
PI16	-1.404
