	x
691	LysoPI(20:4(5Z,8Z,11Z,14Z)/0:0)
692	LysoPI(16:0/0:0)
693	LysoPC(0:0/20:4(5Z,8Z,11Z,14Z))
694	LysoPC(0:0/18:2(9Z,12Z))
695	6-Oxopiperidine-2-carboxylic acid
696	Succinylcarnitine
697	N-Acetyl-beta-alanine
698	2-Hydroxyacetaminophen sulfate
699	2-Hydroxystearic acid
700	2-Methoxyacetaminophen sulfate
701	hydroxyisovaleroyl carnitine
702	N-Acetylthreonine
703	Pyroglutamine
704	Epiandrosterone sulfate
705	TG(17:0/18:1(9Z)/18:1(9Z))
706	Thymol Sulfate
707	4-Vinylphenol sulfate
708	2-Aminoheptanoate
709	5alpha-Pregnan-3beta,20alpha-diol disulfate
710	Octadecenoylcarnitine
711	N-Methyl-L-proline
712	PS(22:2(13Z,16Z)/18:1(9Z))
713	PA(20:2(11Z,14Z)/14:0)
714	PS(22:1(13Z)/18:4(6Z,9Z,12Z,15Z))
715	3-(Cystein-S-yl)acetaminophen
716	cis-Vaccenic acid
717	N-Acetyltaurine
718	Tryptophan 2-C-mannoside
719	4-Androsten-3beta,17beta-diol disulfate
720	2'-O-Methyluridine
721	N-Acetyl-1-methylhistidine
722	2-Hydroxyisovalerylcarnitine
723	4-Androsten-3beta,17beta-diol 17-sulfate
724	4-Methylcatechol 1-sulfate
725	5alpha-Pregnan-3beta,20beta-diol 3-sulfate
726	cis-4-Decenoylcarnitine
727	N5-Acetylornithine
728	SM(d18:1/15:0)
729	SM(d18:1/20:1(11Z))
730	SM(d18:1/16:1(9Z))
731	SM(d18:1/23:1(9Z))
732	SM(d18:1/24:2(5Z,9Z))
733	SM(d18:2(4E,14Z)/16:0)
734	3-Hydroxypyridine sulfate
735	3-Methylcatechol 1-sulfate
736	2'-O-Methylcytidine
737	2-Hydroxyisobutyrate
738	4-Methylcatechol sulfate
739	Glycocholenate sulfate
740	Hexanoylglutamine
741	Eicosa-11,14,17-trienoic acid
742	Decenoylcarnitine
743	Hexadecenoylcarnitine
744	Octadecadienylcarnitine
745	S-N-Methylcysteine
746	acetoacetate
747	Glucose
748	D(-)-beta-hydroxy butyric acid
749	Hexanoylcarnitine
750	PE(16:0/18:1(9Z))
751	PE(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))
752	11Z-Octadecenylcarnitine
753	gamma-Glutamylmethionine
754	O-(2-tetradecenoyl)carnitine
755	Eugenol sulfate
756	Albumin
757	1-eicosatrienoylglycerophosphocholine
758	4-acetylphenol sulfate
759	4-androsten-3alpha,17alpha-diol monosulfate (2)
760	4-methylhexanoylglutamine
761	4-methylhexanoylglycine
762	5alpha-androstan-3alpha,17beta-diol monosulfate (1)
763	5alpha-pregnan-3beta,20alpha-diol monosulfate (2)
764	ADpSGEGDFXAEGGGVR
765	ADSGEGDFXAEGGGVR
766	ApoA1
767	Apolipoprotein A1
768	ApoB
769	Apolipoprotein B
770	BA(DCA)_[M-H]1-
771	BCAAs
772	beta-guanidinopropanoate
773	514.2839_1.516229
774	498.2847_2.001083
775	C16:0Mol%
776	CE(20:4)_[M+NH4]1+
777	Cer Saturated
778	Cer Unsaturated
779	Cer(40:0)_[M-H]1-
780	Cer_40:1_[M-H]1-
781	Cer(40:1)_[M-H]1-
782	Cer(40:2)_[M-H]1-
783	Cer(41:0)_[M-H]1-
784	Cer_41:1_[M-H]1-
785	Cer(41:1)_[M-H]1-
786	Cer(41:2)_[M-H]1-
787	Cer(42:0)_[M-H]1-
788	Cer_42:1_[M+H-H2O]1+
789	Cer_42:2_[M-H]1-
790	Cer_42:2_[M+H-H2O]1+
791	Cer20:0Mol%
792	Ceramide phosphoethanolamine 38:2 (CerPE 38:2)
793	CH2 groups of mobile lipids (MobCH2)
794	CH3 groups of mobile lipids (MobCH3)
795	Total cholines
796	circulating 17:0
797	circulating 19:0
798	citraconate/glutaconate
799	Clinical LDL cholesterol
800	Concentration of chylomicrons (ultra-low density lipoprotein) and largest VLDL particles (CM-LAR-VLDL-P)
801	Concentration of medium HDL particles
802	Degree of unsaturation
803	Dihydroxy docosatrienoic acid
804	361.2394_3.814083
805	343.2273_5.3095
806	519.2493_2.479
807	329.2496_6.459583
808	329.2487_6.505833
809	Double bond protons of mobile lipids (MobCH)
810	DSGEGDFXAEGGGVR
890	Esterified cholesterol
891	FA(16:1)_[M-H]1-
892	FA(18:4)_[M-H]1-
893	FA(20:3)_[M-H]1-
894	FA(20:4)_[M-H]1-
895	FA(22:4)_[M-H]1-
896	FA(22:5)_[M-H]1-
897	FA(22:6)_[M-H]1-
898	631.4707_6.413333
899	583.4711_6.459583
900	607.4786_6.441083
901	633.4904_6.4565
902	FALen
903	FAw6
904	FAw67
905	FAw79S
906	FAw9S
919	FR
920	Free cholesterol
921	GluCer16:0Mol%
922	GluCer24:1Mol%
923	GluCerMol%
924	Glycoprotein acetyls
925	glycochenodeoxycholate glucuronide (1)
926	glycodeoxycholate sulfate
927	Glycoprotein acetyls (Gp)
928	HDL
929	HDL cholesterol
930	Cholesteryl esters in HDL
931	Free cholesterol in HDL
932	Total lipids in HDL
933	Concentration of HDL particles
934	Phospholipids in HDL
935	Average diameter for HDL particles
936	Triglycerides in HDL
937	HDL2-C
938	HDL3-C
939	HDL-C
940	HDL-D
941	heptanoylglutamine
942	HWESASXX
943	HWESASXX*
944	Cholesterol in IDL
945	Cholesteryl esters in IDL
946	Free cholesterol in IDL
947	Total lipids in IDL
948	Concentration of IDL particles
949	Phospholipids in IDL
950	Triglycerides in IDL
951	IDL-C
952	IDL-FC
953	IDL-L
954	IDL-P
955	IDL-PL
956	IDL-TG
957	isocaproylglutamine
958	isocaproylglycine
959	Cholesterol in large HDL
960	Cholesteryl esters in large HDL
961	Free cholesterol in large HDL
962	Total lipids in large HDL
963	Concentration of large HDL particles
964	Phospholipids in large HDL
965	Triglycerides in large HDL
966	Cholesterol in large LDL
967	Cholesteryl esters in large LDL
968	Free cholesterol in large LDL
969	Total lipids in large LDL
970	Concentration of large LDL particles
971	Phospholipids in large LDL
972	Triglycerides in large LDL
973	Cholesterol in large VLDL
974	Cholesteryl esters in large VLDL
975	Free cholesterol in large VLDL
976	Total lipids in large VLDL
977	Concentration of large VLDL particles
978	Phospholipids in large VLDL
979	Triglycerides in large VLDL
980	LDL
981	LDL cholesterol
982	Cholesteryl esters in LDL
983	Free cholesterol in LDL
984	Total lipids in LDL
985	Concentration of LDL particles
986	Phospholipids in LDL
987	Average diameter for LDL particles
988	Triglycerides in LDL
989	LDL-C
990	LDL-D
991	L-HDL-C
992	L-HDL-CE
993	L-HDL-FC
994	L-HDL-L
995	L-HDL-P
996	L-HDL-PL
997	L-LDL-C
998	L-LDL-CE
999	L-LDL-FC
1000	L-LDL-L
1001	L-LDL-P
1002	L-LDL-PL
1003	LPC20:3LPC20:0
1004	LPC-2O_18:0_[M+H]1+
1005	LPE-O_18:1_[M-H]1- / LPE-P_18:0_[M-H]1-
1006	LPE-P_20:0_[M-H]1-
1007	L-VLDL-C
1008	L-VLDL-CE
1009	L-VLDL-FC
1010	L-VLDL-L
1011	L-VLDL-P
1012	L-VLDL-PL
1013	L-VLDL-TG
1014	Cholesterol in medium HDL
1015	Cholesteryl esters in medium HDL
1016	Free cholesterol in medium HDL
1017	Total lipids in medium HDL
1018	Phospholipids in medium HDL
1019	Triglycerides in medium HDL
1020	Cholesterol in medium LDL
1021	Cholesteryl esters in medium LDL
1022	Free cholesterol in medium LDL
1023	Total lipids in medium LDL
1024	Concentration of medium LDL particles
1025	Phospholipids in medium LDL
1026	Triglycerides in medium LDL
1027	Cholesterol in medium VLDL
1028	Cholesteryl esters in medium VLDL
1029	Free cholesterol in medium VLDL
1030	Total lipids in medium VLDL
1031	Concentration of medium VLDL particles
1032	Phospholipids in medium VLDL
1033	Triglycerides in medium VLDL
1034	M-HDL-C
1035	M-HDL-CE
1036	M-HDL-FC
1037	M-HDL-L
1038	M-HDL-P
1039	M-HDL-PL
1040	M-LDL-C
1041	M-LDL-CE
1042	M-LDL-L
1043	M-LDL-P
1044	M-LDL-PL
1045	MUFA
1046	Monounsaturated fatty acids
1047	M-VLDL-C
1048	M-VLDL-CE
1049	M-VLDL-FC
1050	M-VLDL-L
1051	M-VLDL-P
1052	M-VLDL-PL
1053	M-VLDL-TG
3212	N-acetylated compounds (N-Acu)
3213	N-methylpipecolate
3214	N-octanoylglutamine
3215	Total cholesterol minus HDL-C
3216	335.1456_3.804833
3217	345.2437_5.303333
3218	347.2597_5.297167
3219	347.2598_5.620916
3220	351.2544_5.371167
3221	351.2545_5.247833
3222	365.2698_5.6795
3223	299.223_4.279667
3224	323.223_4.3105
3225	325.2386_4.921
3226	Omega-3 fatty acids
3227	Omega-6 fatty acids
3228	Omega-3 fatty acids (FAw3)
3229	otPUFA
3230	PA(39:0)_[M+H]1+
3231	PA(39:1)_[M+H]1+
3232	PA(40:5)_[M+OAc]1- / PG(39:5)_[M-H]1-
3233	PA(41:2)_[M+H]1+
3234	PA(43:4)_[M-H]1-
3235	PA(43:6)_[M-H]1-
3236	PA(44:6)_[M+OAc]1- / PG(43:6)_[M-H]1-
3237	PA(45:6)_[M-H]1-
3238	PC_31:2_[M+H]1+ / PE_34:2_[M+H]1+ / PA_36:3_[M+NH4]1+
3239	PC(33:3)_[M+H]1+ / PE(36:3)_[M+H]1+ / PA(38:4)_[M+NH4]1+
3240	PC(35:1)_[M+H]1+ / PE(38:1)_[M+H]1+ / PA(40:2)_[M+NH4]1+
3241	PC_35:6_[M+H]1+ / PE_38:6_[M+H]1+ / PA_40:7_[M+NH4]1+
3242	PC(36:4)_[M+H]1+ / PE(39:4)_[M+H]1+ / PA(41:5)_[M+NH4]1+
3243	PC_37:3_[M+OAc]1- / PS_41:2_[M-H]1-
3244	PC(38:4)_[M+H]1+ / PE(41:4)_[M+H]1+
3245	PC(38:4)_[M+OAc]1- / PS(42:3)_[M-H]1-
3246	PC_39:6_[M+OAc]1-
3247	PC(39:6)_[M+OAc]1- / PS(43:5)_[M-H]1-
3248	PC(40:8)_[M+H]1+
3249	PC(45:0)_[M-H]1-
3250	PC_52:4_[M+OAc]1-
3251	PC-2O_32:0_[M+H]1+
3252	PC-O_31:0_[M+H]1+ / PE-O_34:0_[M+H]1+
3253	PC-O(32:0)_[M+H]1+ / PE-O(35:0)_[M+H]1+
3254	PC-O_33:3_[M+H]1+ / PC-P_33:2_[M+H]1+ / PE-O_36:3_[M+H]1+
3255	PC-O_35:4_[M+OAc]1- / PC-P_35:3_[M+OAc]1-
3256	PC-O(36:5)_[M+H]1+ / PC-P(36:4)_[M+H]1+
3257	PC-O(39:1)_[M+H]1+ / PE-P(39:0)_[M+H]1+
3258	PC-O_42:6_[M+OAc]1- / PC-P_42:5_[M+OAc]1-
3259	PE_25:0_[M-H]1-
3260	PE_37:3_[M-H]1-
3261	PE_39:4_[M-H]1-
3262	PE(40:2)_[M-H]1-
3263	PE(40:7)_[M-H]1-
3264	PE-O_34:1_[M-H]1- / PE-P_34:0_[M-H]1-
3265	PE-O_34:3_[M-H]1- / PE-P_34:2_[M-H]1-
3266	PE-O_36:3_[M-H]1- / PE-P_36:2_[M-H]1-
3267	PE-O_36:4_[M-H]1- / PE-P_36:3_[M-H]1-
3268	PE-O_36:5_[M-H]1- / PE-P_36:4_[M-H]1-
3269	PE-O_38:3_[M-H]1- / PE-P_38:2_[M-H]1-
3270	PE-O(38:4)_[M-H]1- / PC-O(35:4)_[M-H]1- / PC-P(35:3)_[M-H]1-
3271	PE-O_38:5_[M-H]1- / PE-P_38:4_[M-H]1-
3272	PE-O_38:6_[M-H]1- / PE-P_38:5_[M-H]1-
3273	PE-O(38:6)_[M+H]1+ / PC-P(35:5)_[M+H]1+
3274	PE-O_40:4_[M-H]1- / PE-P_40:3_[M-H]1-
3275	PE-O_40:5_[M-H]1- / PE-P_40:4_[M-H]1-
3276	PE-O_40:6_[M-H]1- / PE-P_40:5_[M-H]1-
3277	PG(32:1)_[M+OAc]1-
3278	PG_35:3_[M-H]1-
3279	PG(35:3)_[M-H]1-
3280	PG-O_34:0_[M-H]1-
3281	PG-O_38:0_[M-H]1-
3282	PG-O_40:0_[M-H]1-
3283	PG-O_42:0_[M-H]1-
3284	Phosphoglycerides
3285	Phospholipids in chylomicrons (ultra-low density lipoproteins) and largest VLDL(CM-LAR-VLDL-PL)
3286	PI(32:1)_[M-H]1-
3287	PI_35:0_[M-H]1-
3288	PI_35:2_[M-H]1-
3289	PI(35:2)_[M-H]1-
3290	PI(36:0)_[M+OAc]1-
3291	PI(36:1)_[M+OAc]1-
3292	PI_38:0_[M-H]1-
3293	PI(38:6)_[M-H]1-
3294	PI(40:5)_[M-H]1-
3295	PI-O(33:0)_[M-H]1-
3296	PI-O_36:0_[M-H]1-
3297	PI-O(36:0)_[M-H]1- / PG(37:0)_[M+OAc]1-
3298	PI-O_36:1_[M+H]1+
3311	pregn.steroid.monosulfate.
3312	PS(35:2) _[M+OAc]1-
3313	PS(42:5)_[M+OAc]1-
3314	PS(42:7)_[M+OAc]1-
3315	PS(44:6)_[M+OAc]1-
3316	PS-O_42:6_[M+H]1+
3317	PS-P_42:1_[M+H]1+ / PG-P_42:6_[M+NH4]1+
3318	Polyunsaturated fatty acids
3355	Remnant cholesterol (non-HDL, non-LDL -cholesterol)
3356	Cholesterol in small HDL
3357	Cholesteryl esters in small HDL
3358	Free cholesterol in small HDL
3359	Total lipids in small HDL
3360	Concentration of small HDL particles
3361	Phospholipids in small HDL
3362	Triglycerides in small HDL
3363	Cholesterol in small LDL
3364	Cholesteryl esters in small LDL
3365	Free cholesterol in small LDL
3366	Total lipids in small LDL
3367	Concentration of small LDL particles
3368	Phospholipids in small LDL
3369	Triglycerides in small LDL
3370	Cholesterol in small VLDL
3371	Cholesteryl esters in small VLDL
3372	Free cholesterol in small VLDL
3373	Total lipids in small VLDL
3374	Concentration of small VLDL particles
3375	Phospholipids in small VLDL
3376	Triglycerides in small VLDL
3377	Serum total triglycerides (Serum-TG)
3378	Serum-C
3379	Saturated fatty acids
3380	S-HDL-L
3381	S-HDL-P
3382	S-HDL-TG
3383	S-LDL-C
3384	S-LDL-L
3385	S-LDL-P
3386	SM 14:0Mol%
3387	SM 15:0
3388	SM 15:0Mol%
3389	SM 16:1Mol%
3390	SM 17:0
3391	SM 17:0Mol%
3392	SM 20:0Mol%
3393	SM 22:1Mol%
3394	SM 23:0Mol%
3395	SM 24:0Mol%
3396	SM 24:1Mol%
3397	SM dih 16:0Mol%
3398	SM_34:0_[M+H]1+
3399	SM(34:0)_[M-CH3]1-
3400	SM(34:0)_[M+H]1+
3401	SM_34:1_[M+H]1+
3402	SM(34:1)_[M-CH3]1-
3403	SM(34:1)_[M+H]1+
3404	SM_35:1_[M+H]1+
3405	SM_36:0_[M+H]1+
3406	SM(36:0)_[M-CH3]1-
3407	SM(36:0)_[M+H]1+
3408	SM_36:1_[M+H]1+
3409	SM(36:1)_[M-CH3]1-
3410	SM(36:1)_[M+H]1+
3411	SM_36:2_[M+H]1+
3412	SM(36:2)_[M+H]1+
3413	SM_37:1_[M+H]1+
3414	SM(37:1)_[M+H]1+
3415	SM(37:1)_[M-CH3]1-
3416	SM(38:0)_[M+H]1+
3417	SM_38:1_[M+H]1+
3418	SM(38:1)_[M+H]1+
3419	SM(38:1)_[M+CH3]1-
3420	SM_38:2_[M+H]1+
3421	SM_39:1_[M+H]1+
3422	SM(39:1)_[M+H]1+
3423	SM(39:1)_[M-CH3]1-
3424	SM_39:2_[M+H]1+
3425	SM_40:0_[M+H]1+
3426	SM(40:0)_[M+OAc]1-
3427	SM_40:1_[M+H]1+
3428	SM(40:1)_[M-CH3]1-
3429	SM_40:2_[M+H]1+
3430	SM(40:2)_[M-CH3]1-
3431	SM_40:3_[M+H]1+
3432	SM_41:0_[M+H]1+
3433	SM(41:1)_[M+H]1+
3434	SM(42:0)_[M+OAc]1-
3435	SM_42:1_[M+H]1+
3436	SM_42:2_[M+OAc]1-
3437	SM_42:2_[M+H]1+
3438	SM(42:2)_[M+OAc]1-
3439	SM(42:4)_[M+H]1+
3440	SM_43_2_[M+H]1+
3441	SM(43:2)_[M-CH3]1-
3442	SM(44:9)_[M+H]1-
3443	sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)
3444	389.2303_2.660917
3445	S-VLDL-C
3446	S-VLDL-FC
3447	S-VLDL-L
3448	S-VLDL-P
3449	S-VLDL-PL
3450	S-VLDL-TG
3451	TG_45:4_[M+NH4]1+
3452	TG(54:2)_[M+NH4]1+
3453	TGoxid(53:3)_[M+NH4]1+
3454	TG-PG
3455	Acylcarnitine total
3456	Carnitine free
3457	Total fatty acids
3458	Total concentration of branched-chain amino acids (leucine + isoleucine + valine)
3459	Total cholesterol
3460	Total esterified cholesterol
3461	Total free cholesterol
3462	Total lipids in lipoprotein particles
3463	Total concentration of lipoprotein particles
3464	Total phospholipids in lipoprotein particles
3465	Total triglycerides
3466	Tot-C
3467	TotPG
3468	Triglycerides in chylomicrons (ultra-low density lipoprotein) and largest VLDL (CM-LAR-VLDL-TG)
3469	VLDL cholesterol
3470	Cholesteryl esters in VLDL
3471	Free cholesterol in VLDL
3472	Total lipids in VLDL
3473	Concentration of VLDL particles
3474	Phospholipids in VLDL
3475	Average diameter for VLDL particles
3476	Triglycerides in VLDL
3477	VLDL-D
3478	VLDL-TG
3483	X-01911
3484	X-02249
3485	X-02269
3486	X-03094
3487	X-04498
3488	X-06246
3489	X-06307
3490	X-07765
3491	X-08402
3492	X-08988
3493	X-09789
3494	X1..1.enyl.oleoyl..GPE..P.18.1..
3495	X-10358
3496	X-10395
3497	X-10429
3498	X-10510
3499	X-11204
3500	X-11244
3501	X-11247
3502	X-11255
3503	X-11261
3504	X-11299
3505	X-11305
3506	X-11315
3507	X-11317
3508	X-11327
3509	X-11334
3510	X-11381
3511	X-11412
3512	X-11421
3513	X-11423--O-sulfo-L-tyrosine
3514	X-11429
3515	X-11438
3516	X-11440
3517	X-11441
3518	X-11442
3519	X-11444
3520	X-11452
3521	X-11469
3522	X-11470
3523	X-11478
3524	X-11483
3525	X-11491
3526	X-11521
3527	X-11522
3528	X-11529
3529	X-11530
3530	X-11537
3531	X-11538
3532	X-11550
3533	X-11564
3534	X-11593--O-methylascorbate*
3535	X-11787
3536	X-11792
3537	X-11793--oxidized bilirubin*
3538	X-11799
3539	X-11818
3540	X-11820
3541	X-11858
3542	X-11880
3543	X-11905
3544	X-12007
3545	X-12013
3546	X-12038
3547	X-12040
3548	X-12063
3549	X-12092
3550	X-12093
3551	X-12094
3552	X-12101
3553	X-12188
3554	X-12189
3555	X-12206
3556	X-12231
3557	X-12411
3558	X-12435
3559	X-12450
3560	X-12456
3561	X-12472
3562	X-12524
3563	X-12556
3564	X-12627
3565	X-12644
3566	X-12681
3567	X-12688
3568	X-12696
3569	X-12704
3570	X-12712
3571	X-12728
3572	X-12729
3573	X-12740
3574	X-12748
3575	X-12749
3576	X-12798
3577	X-12816
3578	X-12822
3579	X-12844
3580	X-12846
3581	X-12850
3582	X-12855
3583	X-13069
3584	X-13215
3585	X-13429
3586	X-13435
3587	X-13477
3588	X-13496
3589	X-13548
3590	X-13658
3591	X-13671
3592	X-13741
3593	X-13859
3594	X-14056
3595	X-14086
3596	X-14473
3597	X-14568
3598	X-14625
3599	X-14626
3600	X-14632
3601	X-14662
3602	X-14838
3603	X-14939
3604	X-15245
3605	X-15486
3606	X-15492
3607	X-15497
3608	X-16123
3609	X-16580
3610	X-16944
3611	X-16946
3612	X-17010
3613	X-17167
3614	X-17178
3615	X-17189
3616	X-17299
3617	X-17327
3618	X-17337
3619	X-18249
3620	X-18601
3621	X-18899
3622	X-18914
3623	X-19141
3624	X-21319
3625	X-21339
3626	X-21343
3627	X-21365
3628	X-21411
3629	X-21441
3630	X-21448
3631	X-21628
3632	X-21849
3633	X-22162
3634	X-22379
3635	X-22764
3636	X-22816
3637	X-22822
3638	X-23026
3639	X-23293
3640	X-23314
3641	X-23639
3642	X-23705
3643	X-23782
3644	X-23788
3645	X-23997
3646	X-24061
3647	X-24065
3648	X-24071
3649	X-24125
3650	X-24241
3651	X-24278
3652	X-24293
3653	X-24309
3654	X-24425
3655	X-24435
3656	X5alpha.androstan.3beta.17beta.diol.disulfate
3657	Cholesterol in very large HDL
3658	Cholesteryl esters in very large HDL
3659	Free cholesterol in very large HDL
3660	Total lipids in very large HDL
3661	Concentration of very large HDL particles
3662	Phospholipids in very large HDL
3663	Triglycerides in very large HDL
3664	Cholesterol in very large VLDL
3665	Cholesteryl esters in very large VLDL
3666	Free cholesterol in very large VLDL
3667	Total lipids in very large VLDL
3668	Concentration of very large VLDL particles
3669	Phospholipids in very large VLDL
3670	Triglycerides in very large VLDL
3671	XL-HDL-C
3672	XL-HDL-CE
3673	XL-HDL-FC
3674	XL-HDL-L
3675	XL-HDL-P
3676	XL-HDL-PL
3677	XL-HDL-TG
3678	XL-VLDL-L
3679	XL-VLDL-P
3680	XL-VLDL-PL
3681	XL-VLDL-TG
3682	Cholesterol in very small VLDL
3683	Cholesteryl esters in very small VLDL
3684	Free cholesterol in very small VLDL
3685	Total lipids in very small VLDL
3686	Concentration of very small VLDL particles
3687	Phospholipids in very small VLDL
3688	Triglycerides in very small VLDL
3689	XS-VLDL-L
3690	XS-VLDL-P
3691	XS-VLDL-PL
3692	XS-VLDL-TG
3693	Cholesterol in chylomicrons and extremely large VLDL
3694	Cholesteryl esters in chylomicrons and extremely large VLDL
3695	Free cholesterol in chylomicrons and extremely large VLDL
3696	Total lipids in chylomicrons and extremely large VLDL
3697	Concentration of chylomicrons and extremely large VLDL particles
3698	Phospholipids in chylomicrons and extremely large VLDL
3699	Triglycerides in chylomicrons and extremely large VLDL
3700	XXL-VLDL-L
3701	XXL-VLDL-P
3702	XXL-VLDL-PL
3703	XXL-VLDL-TG
3704	X-10457
3705	X-12398
3706	X-12410
3707	X-16480
3708	X-17340
3709	X-17357
3710	X-18921
3711	X-19823
3712	X-21358
3713	X-21364
3714	X-21467
3715	X-21471
3716	X-21607
3717	X-21785
3718	X-21792
3719	X-22145
3720	X-23654
3721	X-23756
3722	X-24054
3723	X-24263
3724	X-24348
3725	X-24438
3726	X-24439
3727	X-24455
3728	X-24472
3729	X-24801
3730	X-24807
3731	X-11793
3732	X-12442
3733	X-14153
3734	X-16089
3735	X-16934
3736	X-18929
3737	(Palmitoylcarnitine + Octadecenoylcarnitine)/Acetylcarnitine
3738	(Valine + Leucine|Isoleucine)/(Phenylalanine + Tyrosine)
3739	10-undecenoate (11:1n1)_X-11438
3740	1-margaroyl-2-linoleoyl-GPC (17:0/18:2)
3741	1-margaroyl-2-oleoyl-GPC (17:0/18:1)
3742	2-Hydroxyisovalerylcarnitine/Leucine|Isoleucine
3743	3-(4-hydroxyphenyl)lactate_alpha-hydroxyisovalerate
3744	3-(4-hydroxyphenyl)lactate_X-11799
3745	3-Indolepropionic acid/(S)-(-)-2-HYDROXYISOCAPROIC ACID
3746	3-Indolepropionic acid/1,4-dihydro-1-Methyl-4-oxo-3-pyridinecarboxamide
3747	3-Indolepropionic acid/2-（dimethylamino）guanosine
3748	3-Indolepropionic acid/2-Hydroxyisocaproic Acid
3749	3-Indolepropionic acid/2-Methylsuccinic acid
3750	3-Indolepropionic acid/2-Picolinic acid
3751	3-Indolepropionic acid/3,3',5-Triiodo-L-thyronine
3752	3-Indolepropionic acid/3-Hydroxybutyrate
3753	3-Indolepropionic acid/4-Guanidinobutyric acid
3754	3-Indolepropionic acid/4-Hydroxybenzaldehyde
3755	3-Indolepropionic acid/4-Nitrophenol
3756	3-Indolepropionic acid/4-Pyridoxic acid
3757	3-Indolepropionic acid/5-oxoproline
3758	3-Indolepropionic acid/Adenine
3759	3-Indolepropionic acid/Azelaic Acid
3760	3-Indolepropionic acid/Choline
3761	3-Indolepropionic acid/cis-5,8,11,14,17-Eicosapentaenoic Acid（C20:5n3）
3762	3-Indolepropionic acid/Creatine
3763	3-Indolepropionic acid/Creatinine
3764	3-Indolepropionic acid/Cyclic AMP
3765	3-Indolepropionic acid/D-2-Aminobutyric acid
3766	3-Indolepropionic acid/D-Fructose
3767	3-Indolepropionic acid/Dodecanedioic aicd
3768	3-Indolepropionic acid/Hippuric acid
3769	3-Indolepropionic acid/Homovanillic acid
3770	3-Indolepropionic acid/Hypoxanthine
3771	3-Indolepropionic acid/Indole-5-carboxylic acid (98%)
3772	3-Indolepropionic acid/Isonicotinamide
3773	3-Indolepropionic acid/Kinurenine
3774	3-Indolepropionic acid/Kynurenic acid
3775	3-Indolepropionic acid/L-2-Aminobutyric acid
3776	3-Indolepropionic acid/L-Arginine
3777	3-Indolepropionic acid/Lauric Acid/Dodecanoic acid（C12:0）
3778	3-Indolepropionic acid/L-Carnitine
3779	3-Indolepropionic acid/L-Lysine
3780	3-Indolepropionic acid/L-Methionine
3781	3-Indolepropionic acid/L-Ornithine
3782	3-Indolepropionic acid/L-Pipecolic acid
3783	3-Indolepropionic acid/L-Saccharopine
3784	3-Indolepropionic acid/L-Tyrosine
3785	3-Indolepropionic acid/L-Valine
3786	3-Indolepropionic acid/LysoPC 14:0
3787	3-Indolepropionic acid/LysoPC 16:0
3788	3-Indolepropionic acid/LysoPC 16:1
3789	3-Indolepropionic acid/LysoPC 18:0
3790	3-Indolepropionic acid/LysoPC 18:1
3791	3-Indolepropionic acid/LysoPC 20:0
3792	3-Indolepropionic acid/LysoPC 20:1
3793	3-Indolepropionic acid/LysoPC 20:2
3794	3-Indolepropionic acid/Maltose
3795	3-Indolepropionic acid/Methylmalonic acid
3796	3-Indolepropionic acid/Myoinositol
3797	3-Indolepropionic acid/N,N-Dimethylglycine
3798	3-Indolepropionic acid/N6-Acetyl-L-lysine
3799	3-Indolepropionic acid/N-acetylglycine
3800	3-Indolepropionic acid/N-Acetyl-L-tyrosine
3801	3-Indolepropionic acid/Phenylpyruvic acid
3802	3-Indolepropionic acid/Pipecolinic acid
3803	3-Indolepropionic acid/S-(5-Adenosy)-L-homocysteine
3804	3-Indolepropionic acid/Sarcosine
3805	3-Indolepropionic acid/S-Sulfo-L-cysteine
3806	3-Indolepropionic acid/SubericAcid
3807	3-Indolepropionic acid/Taurocholic acid sodium salt hydrate
3808	3-Indolepropionic acid/Trimethylamine N-oxide
3809	3-Indolepropionic acid/Uric acid
3810	3-Indolepropionic acid/Uridine
3811	3-Indolepropionic acid/UROCANIC ACID(RG)
3812	3-Indolepropionic acid/α-Linolenic Acid（C18:3n3）
3813	3-Indolepropionic acid/β-Pseudouridine
3814	3-Indolepropionic acid/γ-Linolenic Acid（C18:3n6）
3815	3-methyl-2-oxovalerate_2-aminobutyrate
3816	4-acetamidobutanoate_N1-methyladenosine
3817	4-acetamidobutanoate_X-03056--N-[3-(2-Oxopyrrolidin-1-yl)propyl]acetamide
3818	5-Methyluridine/3-Indolepropionic acid
3819	5-oxoproline_N1-methyladenosine
3820	AA_DGLA
3821	acetylcarnitine_hexanoylcarnitine
3822	ADpSGEGDFXAEGGGVR*_X-14304--leucylalanine
3823	ADSGEGDFXAEGGGVR*_ADpSGEGDFXAEGGGVR*
3824	Ala/Glc
3825	Ala/Gln
3826	Ala/Gly
3827	Ala/His
3828	Ala/Ile
3829	Ala/Leu
3830	Ala/Phe
3831	Ala/Tyr
3832	Ala/Val
3833	Alanine/Acetylcarnitine
3834	Alanine/Aspartic acid
3835	androsterone sulfate_4-androsten-3beta,17beta-diol disulfate 2*
3836	androsterone sulfate_epiandrosterone sulfate
3837	ApoB/ApoA1
3838	Ratio of apolipoprotein B to apolipoprotein A1
3839	arachidonate (20:4n6)_1-arachidonoylglycerophosphoinositol*
