"",id,trait,note,group_name,mr,year,author,sex,pmid,population,unit,sample_size,nsnp,build,category,subcategory,ontology,ncase,consortium,ncontrol,priority,sd
"756",ukb-e-recode18_EAS,NA,NA,public,1,2020,Pan-UKB team,Males and Females,,East Asian,NA,2709,8196586,HG19/GRCh37,Binary,NA,NA,238,NA,2471,0,
"757",ukb-e-102090_AFR,Yogurt intake,NA,public,1,2020,Pan-UKB team,Males and Females,,African American or Afro-Caribbean,NA,1207,15533528,HG19/GRCh37,Continuous,NA,NA,1207,NA,0,0,
"758",finn-b-L12_DERM_NUMMULAR,Nummular dermatitis,L12_DERM_NUMMULAR,public,1,2021,NA,Males and Females,,European,NA,,16380428,HG19/GRCh37,Binary,NA,NA,1056,NA,198740,0,
"759",ubm-a-1881,NET100 0725,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,7916,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"760",ukb-d-20477,Ever talked to a health professional about unusual or psychotic experiences,NA,public,1,2018,Neale lab,Males and Females,,European,NA,5788,9630473,HG19/GRCh37,Binary,NA,NA,1225,NA,4563,0,
"761",finn-b-N14_OTHINFVAGVULV,Other inflammation of vagina/vulva,N14_OTHINFVAGVULV,public,1,2021,NA,Males and Females,,European,NA,,16379504,HG19/GRCh37,Binary,NA,NA,513,NA,111858,0,
"762",ebi-a-GCST90017063,Gut microbiota abundance (genus Ruminococcus2 id.11374),NA,public,1,2021,Kurilshikov A,NA,33462485,European,NA,14306,5619774,HG19/GRCh37,NA,NA,NA,,NA,,0,
"763",ubm-a-1072,NET25 0126,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,7916,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"764",ieu-b-88,Oral cavity and pharyngeal cancer,Geographic region: South America,public,1,2016,Lesseur,Males and Females,27749845,Hispanic or Latin American,NA,1340,7514889,HG19/GRCh37,Disease,Cancer,EFO:0006859,613,Oncoarray oral cavity and oropharyngeal cancer,727,0,
"765",ukb-e-recode298_AFR,NA,NA,public,1,2020,Pan-UKB team,Males and Females,,African American or Afro-Caribbean,NA,6636,15455956,HG19/GRCh37,Binary,NA,NA,280,NA,6356,0,
"766",ukb-d-I9_CORATHER,Coronary atherosclerosis,NA,public,1,2018,Neale lab,Males and Females,,European,NA,361194,13586589,HG19/GRCh37,Binary,NA,NA,14334,NA,346860,0,
"767",ukb-b-5379,Frequency of friend/family visits,1031: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,2018,Ben Elsworth,Males and Females,,European,SD,459830,9851867,HG19/GRCh37,Categorical Ordered,NA,NA,,MRC-IEU,,1,
"768",finn-b-F5_MILDRET,Mild mental retardation,F5_MILDRET,public,1,2021,NA,Males and Females,,European,NA,,16380466,HG19/GRCh37,Binary,NA,NA,486,NA,218031,0,
"769",ubm-a-1607,NET100 0451,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,7916,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"770",ebi-a-GCST90002347,Mean platelet volume,NA,public,1,2020,Chen MH,NA,32888493,Hispanic or Latin American,NA,2810,24756519,HG19/GRCh37,NA,NA,NA,,NA,,0,
"771",ebi-a-GCST90014122,Lacunar stroke,NA,public,1,2021,Traylor M,NA,33773637,European,NA,225419,6909434,HG19/GRCh37,NA,NA,NA,6030,NA,248929,0,
"772",ukb-e-E11_AFR,E11 Non-insulin-dependent diabetes mellitus,NA,public,1,2020,Pan-UKB team,Males and Females,,African American or Afro-Caribbean,NA,6636,15529919,HG19/GRCh37,Binary,NA,NA,792,NA,5844,0,
"773",ubm-a-560,IDP dMRI TBSS OD Posterior thalamic radiation R,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,7532,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"774",ebi-a-GCST90001857,CD3 on activated & secreting CD4 regulatory T cell,NA,public,1,2020,Orr<U+00F9> V,NA,32929287,European,NA,2919,14849624,HG19/GRCh37,NA,NA,NA,,NA,,0,
"775",ukb-b-970,Diagnoses - secondary ICD10: E11.9 Without complications,41204#E119: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,2018,Ben Elsworth,Males and Females,,European,SD,463010,9851867,HG19/GRCh37,Binary,NA,NA,12045,MRC-IEU,450965,1,
"776",finn-b-G6_ROOTPLEXOTHUNS,"Other and unspecified nerve root and plexus disorders, also in other diseases",G6_ROOTPLEXOTHUNS,public,1,2021,NA,Males and Females,,European,NA,,16380420,HG19/GRCh37,Binary,NA,NA,2428,NA,195047,0,
"777",ukb-e-N92_AFR,"N92 Excessive, frequent and irregular menstruation",NA,public,1,2020,Pan-UKB team,Males and Females,,African American or Afro-Caribbean,NA,6636,15528337,HG19/GRCh37,Binary,NA,NA,470,NA,6166,0,
"778",ubm-a-736,IDP dMRI ProbtrackX L2 ar l,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,7532,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"779",ebi-a-GCST90000486,Monocyte chemoattractant protein-4 levels,NA,public,1,2020,Hillary RF,NA,32641083,European,NA,982,7883880,HG19/GRCh37,NA,NA,NA,,NA,,0,
"780",ebi-a-GCST90000505,Urokinase-type plasminogen activator levels,NA,public,1,2020,Hillary RF,NA,32641083,European,NA,982,7883863,HG19/GRCh37,NA,NA,NA,,NA,,0,
"781",ukb-e-23102_EAS,Whole body water mass,NA,public,1,2020,Pan-UKB team,Males and Females,,East Asian,NA,2662,8253110,HG19/GRCh37,Continuous,NA,NA,2662,NA,0,0,
"782",ubm-a-2484,NET100 1328,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,7916,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"783",ukb-e-20080_p6_CSA,Day-of-week questionnaire completed,NA,public,1,2020,Pan-UKB team,Males and Females,,South Asian,NA,1469,9781090,HG19/GRCh37,Binary,NA,NA,358,NA,1111,0,
"784",ukb-b-11650,Corneal hysteresis (left),5264: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,2018,Ben Elsworth,Males and Females,,European,SD,97465,9851867,HG19/GRCh37,Continuous,NA,NA,,MRC-IEU,,1,
"785",ubm-a-2999,a2009s lh Lat Fis-post thickness,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,8411,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"786",ukb-b-8124,Onion intake,104260: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,2018,Ben Elsworth,Males and Females,,European,SD,64949,9851867,HG19/GRCh37,Categorical Ordered,NA,NA,,MRC-IEU,,1,
"787",ubm-a-917,NODEamps100 0026,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,7916,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"788",ubm-a-2480,NET100 1324,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,7916,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"789",ukb-e-48_CSA,Waist circumference,NA,public,1,2020,Pan-UKB team,Males and Females,,South Asian,NA,8783,9812136,HG19/GRCh37,Continuous,NA,NA,8783,NA,0,0,
"790",ukb-b-9038,Main speciality of consultant (recoded): Ophthalmology,41245#1610: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,2018,Ben Elsworth,Males and Females,,European,SD,461230,9851867,HG19/GRCh37,Binary,NA,NA,22306,MRC-IEU,438924,1,
"791",ukb-b-16665,Operative procedures - main OPCS: Q10.3 Dilation of cervix uteri and curettage of uterus NEC,41200#Q103: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,2018,Ben Elsworth,Males and Females,,European,SD,463010,9851867,HG19/GRCh37,Binary,NA,NA,4460,MRC-IEU,458550,1,
"792",ubm-a-2381,NET100 1225,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,7916,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"793",ukb-a-332,Fracture resulting from simple fall,NA,public,1,2017,Neale,Males and Females,,European,SD,31762,10894596,HG19/GRCh37,NA,NA,NA,18864,Neale Lab,12898,1,
"794",ubm-a-946,NODEamps100 0055,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,7916,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"795",finn-b-E4_DMNASNOCOMP,Unspecified diabetes without complications,E4_DMNASNOCOMP,public,1,2021,NA,Males and Females,,European,NA,,16380336,HG19/GRCh37,Binary,NA,NA,1219,NA,183185,0,
"796",ebi-a-GCST90016931,Gut microbiota abundance (family Clostridiaceae1 id.1869),NA,public,1,2021,Kurilshikov A,NA,33462485,European,NA,14306,5598586,HG19/GRCh37,NA,NA,NA,,NA,,0,
"797",ukb-b-14796,"Non-cancer illness code, self-reported: diverticular disease/diverticulitis",20002#1458: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,2018,Ben Elsworth,Males and Females,,European,SD,462933,9851867,HG19/GRCh37,Binary,NA,NA,5193,MRC-IEU,457740,1,
"798",ukb-d-I9_STR_EXH,"Ischaemic Stroke, excluding all haemorrhages",NA,public,1,2018,Neale lab,Males and Females,,European,NA,361194,11321390,HG19/GRCh37,Binary,NA,NA,3314,NA,357880,0,
"799",ubm-a-1060,NET25 0114,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,7916,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"800",ukb-e-100019_CSA,Carotene,NA,public,1,2020,Pan-UKB team,Males and Females,,South Asian,NA,1469,9797409,HG19/GRCh37,Continuous,NA,NA,1469,NA,0,0,
"801",ubm-a-762,IDP dMRI ProbtrackX L2 unc r,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,7532,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"802",ubm-a-431,IDP dMRI TBSS L2 Superior fronto-occipital fasciculus L,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,7532,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"803",ukb-e-20115_p25_EAS,Country of Birth (non-UK origin),NA,public,1,2020,Pan-UKB team,Males and Females,,East Asian,NA,2351,7964683,HG19/GRCh37,Binary,NA,NA,314,NA,2037,0,
"804",ebi-a-GCST006678,Acute insulin response (insulin secretion and BMI adjusted),NA,public,1,2017,Wood AR,NA,28490609,European,NA,2087,9629245,HG19/GRCh37,NA,NA,NA,,NA,,0,
"805",finn-b-ULCERRECT,Ulcerative rectosigmoiditis,ULCERRECT,public,1,2021,NA,Males and Females,,European,NA,,16380453,HG19/GRCh37,Binary,NA,NA,1198,NA,210300,0,
"806",ebi-a-GCST90016958,Gut microbiota abundance (family Victivallaceae id.2255),NA,public,1,2021,Kurilshikov A,NA,33462485,European,NA,14306,5184073,HG19/GRCh37,NA,NA,NA,,NA,,0,
"807",ebi-a-GCST90001728,CD19 on IgD+ CD38- unswitched memory B cell,NA,public,1,2020,Orr<U+00F9> V,NA,32929287,European,NA,1833,14184578,HG19/GRCh37,NA,NA,NA,,NA,,0,
"808",ukb-e-20110_p7_EAS,Illnesses of mother,NA,public,1,2020,Pan-UKB team,Males and Females,,East Asian,NA,2257,8220852,HG19/GRCh37,Binary,NA,NA,288,NA,1969,0,
"809",ukb-b-3132,Operation code: eye surgery,20004#1434: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,2018,Ben Elsworth,Males and Females,,European,SD,462933,9851867,HG19/GRCh37,Binary,NA,NA,4337,MRC-IEU,458596,1,
"810",ubm-a-2849,DKTatlas rh supramarginal area,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,8411,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"811",finn-b-N14_RENFAILNAS,Unspesified kidney failure,N14_RENFAILNAS,public,1,2021,NA,Males and Females,,European,NA,,16380451,HG19/GRCh37,Binary,NA,NA,963,NA,212841,0,
"812",ieu-a-1022,Percent emphysema,,public,1,2014,Manichaikul A,Males and Females,24383474,European,log (% emphysema + 1),2431,2390490,HG19/GRCh37,Risk factor,Lung disease,NA,,MESA,,2,0.719
"813",finn-b-N14_ENDOMETRIOSIS,Endometriosis,N14_ENDOMETRIOSIS,public,1,2021,NA,Males and Females,,European,NA,,16377306,HG19/GRCh37,Binary,NA,NA,8288,NA,68969,0,
"814",ukb-e-5262_CSA,"Intra-ocular pressure, corneal-compensated (left)",NA,public,1,2020,Pan-UKB team,Males and Females,,South Asian,NA,3934,9800070,HG19/GRCh37,Continuous,NA,NA,3934,NA,0,0,
"815",ukb-b-14050,Why reduced smoking: Financial reasons,6158#4: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,2018,Ben Elsworth,Males and Females,,European,SD,14951,9851867,HG19/GRCh37,Binary,NA,NA,4012,MRC-IEU,10939,1,
"816",ukb-b-12089,Treatment/medication code: mebeverine,20003#1140879428: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,2018,Ben Elsworth,Males and Females,,European,SD,462933,9851867,HG19/GRCh37,Binary,NA,NA,2271,MRC-IEU,460662,1,
"817",finn-b-CD2_INSITU_CERVIX_UTERI_NOS_EXALLC,"""Carcinoma in situ of uteri, other/unspecified"" (all cancers excluded)",CD2_INSITU_CERVIX_UTERI_NOS_EXALLC,public,1,2021,NA,Males and Females,,European,NA,,16378981,HG19/GRCh37,Binary,NA,NA,109,NA,102506,0,
"818",ukb-b-17962,Operative procedures - secondary OPCS: E13.3 Intranasal antrostomy,41210#E133: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,2018,Ben Elsworth,Males and Females,,European,SD,463010,9851867,HG19/GRCh37,Binary,NA,NA,1246,MRC-IEU,461764,1,
"819",finn-b-C3_LIP_ORAL_PHARYNX,"Malignant neoplasm of lip, oral cavity and pharynx",C3_LIP_ORAL_PHARYNX,public,1,2021,NA,Males and Females,,European,NA,,16380466,HG19/GRCh37,Binary,NA,NA,126,NA,218666,0,
"820",ebi-a-GCST90012115,Age-related hearing impairment (MTAG),NA,public,1,2020,Kalra G,NA,32986727,European,NA,330759,10858770,HG19/GRCh37,NA,NA,NA,,NA,,0,
"821",ukb-b-16482,Yogurt/ice-cream consumers,102080: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,2018,Ben Elsworth,Males and Females,,European,SD,64949,9851867,HG19/GRCh37,Binary,NA,NA,26305,MRC-IEU,38644,1,
"822",ubm-a-1250,NET100 0094,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,7916,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"823",finn-b-L12_HIDRADENITISSUP,Hidradenitis suppurativa,L12_HIDRADENITISSUP,public,1,2021,NA,Males and Females,,European,NA,,16380451,HG19/GRCh37,Binary,NA,NA,409,NA,211139,0,
"824",ubm-a-1739,NET100 0583,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,7916,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"825",ukb-d-C_URINARY_TRACT,Cancer of urinary tract,NA,public,1,2018,Neale lab,Males and Females,,European,NA,361194,10309627,HG19/GRCh37,Binary,NA,NA,1841,NA,359353,0,
"826",ukb-e-102310_AFR,Chocolate sweet intake,NA,public,1,2020,Pan-UKB team,Males and Females,,African American or Afro-Caribbean,NA,1207,15533528,HG19/GRCh37,Continuous,NA,NA,1207,NA,0,0,
"827",ukb-e-41245_p47_AFR,Main speciality of consultant (recoded),NA,public,1,2020,Pan-UKB team,Males and Females,,African American or Afro-Caribbean,NA,6607,15526140,HG19/GRCh37,Binary,NA,NA,1411,NA,5196,0,
"828",ubm-a-615,IDP dMRI TBSS ISOVF Cingulum cingulate gyrus L,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,7532,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"829",ukb-e-2247_p1_MID,Hearing difficulty/problems,NA,public,1,2020,Pan-UKB team,Males and Females,,"Greater Middle Eastern (Middle Eastern, North African, or Persian)",NA,1475,11517849,HG19/GRCh37,Binary,NA,NA,1222,NA,253,0,
"830",ukb-e-5292_CSA,3mm index of best keratometry results (left),NA,public,1,2020,Pan-UKB team,Males and Females,,South Asian,NA,3801,9798702,HG19/GRCh37,Continuous,NA,NA,3801,NA,0,0,
"831",ubm-a-523,IDP dMRI TBSS ICVF Fornix cres+Stria terminalis L,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,7532,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"832",ukb-a-455,Medication for pain relief  constipation  heartburn: Paracetamol,NA,public,1,2017,Neale,Males and Females,,European,SD,333581,10894596,HG19/GRCh37,NA,NA,NA,72882,Neale Lab,260699,1,
"833",finn-b-TONGUEABNORMALITY,Tongue abnormality,TONGUEABNORMALITY,public,1,2021,NA,Males and Females,,European,NA,,16380466,HG19/GRCh37,Binary,NA,NA,777,NA,218015,0,
"834",ukb-d-5699,FI10 : arithmetic sequence recognition,NA,public,1,2018,Neale lab,Males and Females,,European,NA,20880,13520623,HG19/GRCh37,Binary,NA,NA,16721,NA,4159,0,
"835",ubm-a-1539,NET100 0383,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,7916,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"836",ukb-b-19060,Hearing aid user,3393: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,2018,Ben Elsworth,Males and Females,,European,SD,280546,9851867,HG19/GRCh37,Binary,NA,NA,14048,MRC-IEU,266498,1,
"837",ebi-a-GCST006096,Age spots,NA,public,1,2018,Endo C,NA,29895819,East Asian,logOR,11253,559843,HG19/GRCh37,NA,NA,NA,3815,NA,7438,0,
"838",ukb-b-1228,Diagnoses - secondary ICD10: I84.6 Residual haemorrhoidal skin tags,41204#I846: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,2018,Ben Elsworth,Males and Females,,European,SD,463010,9851867,HG19/GRCh37,Binary,NA,NA,1710,MRC-IEU,461300,1,
"839",ukb-d-O70,Diagnoses - main ICD10: O70 Perineal laceration during delivery,NA,public,1,2018,Neale lab,Males and Females,,European,NA,361194,11192727,HG19/GRCh37,Binary,NA,NA,3077,NA,358117,0,
"840",ebi-a-GCST90001437,Naive-mature B cell %lymphocyte,NA,public,1,2020,Orr<U+00F9> V,NA,32929287,European,NA,3656,15048937,HG19/GRCh37,NA,NA,NA,,NA,,0,
"841",ukb-b-16207,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Emphysema/chronic bronchitis",6152#6: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,2018,Ben Elsworth,Males and Females,,European,SD,462013,9851867,HG19/GRCh37,Binary,NA,NA,7844,MRC-IEU,454169,1,
"842",ukb-e-4124_CSA,Heel bone mineral density (BMD) (right),NA,public,1,2020,Pan-UKB team,Males and Females,,South Asian,NA,5419,9807014,HG19/GRCh37,Continuous,NA,NA,5419,NA,0,0,
"843",finn-b-M13_DISCINFECTION,Infection of intervertebral disc (pyogenic),M13_DISCINFECTION,public,1,2021,NA,Males and Females,,European,NA,,16380216,HG19/GRCh37,Binary,NA,NA,133,NA,164682,0,
"844",ubm-a-2851,DKTatlas rh insula area,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,8411,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"845",ukb-b-14,Operative procedures - main OPCS: Q17.1 Endoscopic resection of lesion of uterus,41200#Q171: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,2018,Ben Elsworth,Males and Females,,European,SD,463010,9851867,HG19/GRCh37,Binary,NA,NA,4910,MRC-IEU,458100,1,
"846",ebi-a-GCST90001573,Terminally Differentiated CD4-CD8- T cell %CD4-CD8- T cell,NA,public,1,2020,Orr<U+00F9> V,NA,32929287,European,NA,3427,15141588,HG19/GRCh37,NA,NA,NA,,NA,,0,
"847",ubm-a-2950,DKTatlas lh rostralanteriorcingulate thickness,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,8411,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"848",ukb-a-595,Diagnoses - main ICD10: Z47 Other orthopaedic follow-up care,NA,public,1,2017,Neale,Males and Females,,European,SD,337199,10894596,HG19/GRCh37,NA,NA,NA,1954,Neale Lab,335245,1,
"849",ukb-e-recode156_AFR,NA,NA,public,1,2020,Pan-UKB team,Males and Females,,African American or Afro-Caribbean,NA,6636,15288779,HG19/GRCh37,Binary,NA,NA,214,NA,6422,0,
"850",ukb-b-730,Fresh tomato intake,104340: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,2018,Ben Elsworth,Males and Females,,European,SD,64949,9851867,HG19/GRCh37,Categorical Ordered,NA,NA,,MRC-IEU,,1,
"851",finn-b-Z21_PROBL_RELATED_LIFESTYLE,Problems related to lifestyle,Z21_PROBL_RELATED_LIFESTYLE,public,1,2021,NA,Males and Females,,European,NA,,16380417,HG19/GRCh37,Binary,NA,NA,1408,NA,191362,0,
"852",ebi-a-GCST90016987,Gut microbiota abundance (genus Desulfovibrio id.3173),NA,public,1,2021,Kurilshikov A,NA,33462485,European,NA,14306,5459163,HG19/GRCh37,NA,NA,NA,,NA,,0,
"853",ukb-e-5109_AFR,6mm asymmetry angle (right),NA,public,1,2020,Pan-UKB team,Males and Females,,African American or Afro-Caribbean,NA,1345,15541185,HG19/GRCh37,Continuous,NA,NA,1345,NA,0,0,
"854",finn-b-CD2_BENIGN_LIPOMATOUS,Benign lipomatous neoplasm,CD2_BENIGN_LIPOMATOUS,public,1,2021,NA,Males and Females,,European,NA,,16380466,HG19/GRCh37,Binary,NA,NA,4870,NA,213922,0,
"855",ukb-e-4957_CSA,FI3 : word interpolation,NA,public,1,2020,Pan-UKB team,Males and Females,,South Asian,NA,4137,9805657,HG19/GRCh37,Binary,NA,NA,2594,NA,1543,0,
"856",ukb-e-3647_CSA,Duration of other exercises,NA,public,1,2020,Pan-UKB team,Males and Females,,South Asian,NA,2861,9808156,HG19/GRCh37,Continuous,NA,NA,2861,NA,0,0,
"857",ukb-e-6147_p2_AFR,Reason for glasses/contact lenses,NA,public,1,2020,Pan-UKB team,Males and Females,,African American or Afro-Caribbean,NA,6550,15531003,HG19/GRCh37,Binary,NA,NA,737,NA,5813,0,
"858",finn-b-E4_OVARDYS,Ovarian dysfunction,E4_OVARDYS,public,1,2021,NA,Males and Females,,European,NA,,16379685,HG19/GRCh37,Binary,NA,NA,942,NA,118228,0,
"859",ukb-a-3,Pulse rate  automated reading,NA,public,1,2017,Neale,Males and Females,,European,SD,317756,10894596,HG19/GRCh37,NA,NA,NA,,Neale Lab,,1,
"860",finn-b-H7_EYELIDNAS,Other specified and unspecified  disorders of eyelid,H7_EYELIDNAS,public,1,2021,NA,Males and Females,,European,NA,,16380434,HG19/GRCh37,Binary,NA,NA,125,NA,203231,0,
"861",ebi-a-GCST90002069,CD4 on CD39+ secreting CD4 regulatory T cell,NA,public,1,2020,Orr<U+00F9> V,NA,32929287,European,NA,2920,14849646,HG19/GRCh37,NA,NA,NA,,NA,,0,
"862",ukb-e-20003_p33_MID,Treatment/medication code,NA,public,1,2020,Pan-UKB team,Males and Females,,"Greater Middle Eastern (Middle Eastern, North African, or Persian)",NA,1595,11640067,HG19/GRCh37,Binary,NA,NA,224,NA,1371,0,
"863",ukb-e-recode140_CSA,NA,NA,public,1,2020,Pan-UKB team,Males and Females,,South Asian,NA,8876,9807068,HG19/GRCh37,Binary,NA,NA,427,NA,8449,0,
"864",finn-b-K11_OESULC,Ulcer of oesophagus,K11_OESULC,public,1,2021,NA,Males and Females,,European,NA,,16380374,HG19/GRCh37,Binary,NA,NA,1125,NA,189695,0,
"865",ubm-a-1593,NET100 0437,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,7916,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"866",finn-b-T2D_WIDE,"Type 2 diabetes, wide definition",T2D_WIDE,public,1,2021,NA,Males and Females,,European,NA,,16380418,HG19/GRCh37,Binary,NA,NA,17268,NA,184778,0,
"867",ubm-a-2797,a2009s lh S collat transv post area,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,8411,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"868",ukb-b-3703,"Non-cancer illness code, self-reported: heart arrhythmia",20002#1077: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,2018,Ben Elsworth,Males and Females,,European,SD,462933,9851867,HG19/GRCh37,Binary,NA,NA,2545,MRC-IEU,460388,1,
"869",ukb-b-13864,Operative procedures - secondary OPCS: Z27.6 Ileum,41210#Z276: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,2018,Ben Elsworth,Males and Females,,European,SD,463010,9851867,HG19/GRCh37,Binary,NA,NA,4720,MRC-IEU,458290,1,
"870",ukb-b-17814,Caffeine drink within last hour,3089: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,2018,Ben Elsworth,Males and Females,,European,SD,424873,9851867,HG19/GRCh37,Binary,NA,NA,8991,MRC-IEU,415882,1,
"871",ubm-a-2788,a2009s lh Pole occipital area,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,8411,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"872",ukb-e-1960_EAS,Fed-up feelings,NA,public,1,2020,Pan-UKB team,Males and Females,,East Asian,NA,2445,8207033,HG19/GRCh37,Binary,NA,NA,734,NA,1711,0,
"873",ieu-b-4853,Forced expiratory volume in 1-second,Sibling estimate,public,1,2022,Howe LJ,Males and Females,,European,NA,14444,,HG19/GRCh37,NA,NA,EFO:0004314,,Within family GWAS consortium,,0,
"874",ebi-a-GCST90016965,Gut microbiota abundance (genus Anaerofilum id.2053),NA,public,1,2021,Kurilshikov A,NA,33462485,European,NA,14306,5321133,HG19/GRCh37,NA,NA,NA,,NA,,0,
"875",ukb-e-4849_p1_CSA,Hearing test done,NA,public,1,2020,Pan-UKB team,Males and Females,,South Asian,NA,5399,9802662,HG19/GRCh37,Binary,NA,NA,519,NA,4880,0,
"876",ubm-a-251,IDP dMRI TBSS MD Corticospinal tract L,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,7532,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"877",finn-b-N14_RENFAIL,Renal failure,N14_RENFAIL,public,1,2021,NA,Males and Females,,European,NA,,16380466,HG19/GRCh37,Binary,NA,NA,5951,NA,212841,0,
"878",ukb-e-23104_AFR,Body mass index (BMI),NA,public,1,2020,Pan-UKB team,Males and Females,,African American or Afro-Caribbean,NA,6458,15531742,HG19/GRCh37,Continuous,NA,NA,6458,NA,0,0,
"879",ukb-a-361,Heel bone mineral density (BMD) T-score  automated (left),NA,public,1,2017,Neale,Males and Females,,European,SD,106254,10894596,HG19/GRCh37,NA,NA,NA,,Neale Lab,,1,
"880",finn-b-H7_GLAUCCLOSEPRIM,Primary angle-closure glaucoma,H7_GLAUCCLOSEPRIM,public,1,2021,NA,Males and Females,,European,NA,,16380446,HG19/GRCh37,Binary,NA,NA,588,NA,210201,0,
"881",ukb-e-30700_EAS,Creatinine,NA,public,1,2020,Pan-UKB team,Males and Females,,East Asian,NA,2571,8258983,HG19/GRCh37,Continuous,NA,NA,2571,NA,0,0,
"882",ubm-a-2313,NET100 1157,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,7916,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
