"","x"
"647","TG(20:4(8Z,11Z,14Z,17Z)/15:0/O-18:0)"
"648","TG(20:4(8Z,11Z,14Z,17Z)/16:0/O-18:0)"
"649","TG(20:4(8Z,11Z,14Z,17Z)/18:0/O-18:0)"
"650","TG(20:5(5Z,8Z,11Z,14Z,17Z)/14:0/O-18:0)"
"651","TG(20:5(5Z,8Z,11Z,14Z,17Z)/15:0/O-18:0)"
"652","TG(20:5(5Z,8Z,11Z,14Z,17Z)/14:1(9Z)/O-18:0)"
"653","TG(20:5(5Z,8Z,11Z,14Z,17Z)/18:3(9Z,12Z,15Z)/O-18:0)"
"654","TG(22:5(7Z,10Z,13Z,16Z,19Z)/14:0/O-18:0)"
"655","TG(22:5(7Z,10Z,13Z,16Z,19Z)/16:0/O-18:0)"
"656","TG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/16:0/O-18:0)"
"657","TG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/14:1(9Z)/O-18:0)"
"658","TG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/16:1(9Z)/O-18:0)"
"659","TG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:1(9Z)/O-18:0)"
"660","TG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:2(9Z,12Z)/O-18:0)"
"661","TG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:3(9Z,12Z,15Z)/O-18:0)"
"662","TG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:4(6Z,9Z,12Z,15Z)/O-18:0)"
"663","DG(15:0/0:0/18:1n9)"
"664","DG(20:0/0:0/14:1n5)"
"665","DG(22:0/0:0/14:1n5)"
"666","DG(16:1n7/0:0/16:1n7)"
"667","DG(16:1n7/0:0/18:1n9)"
"668","DG(16:1n7/0:0/18:2n6)"
"669","DG(18:1n9/0:0/18:1n9)"
"670","DG(18:1n9/0:0/18:2n6)"
"671","DG(20:1n9/0:0/18:2n6)"
"672","DG(18:2n6/0:0/18:2n6)"
"673","DG(18:2n6/0:0/20:2n6)"
"674","DG(18:2n6/0:0/18:3n3)"
"675","DG(20:2n6/0:0/18:3n3)"
"676","DG(20:3n6/0:0/18:3n3)"
"677","DG(22:2n6/0:0/22:4n6)"
"678","DG(22:2n6/0:0/20:5n3)"
"679","DG(22:2n6/0:0/22:5n3)"
"680","N-Acetylaminooctanoic acid"
"681","Phenol sulphate"
"682","CE(15:0)"
"683","CE(17:0)"
"684","CE(17:1)"
"685","4-Hydroxyphenyl acetate"
"686","3-Carboxy-4-methyl-5-propyl-2-furanpropionic acid"
"687","Lenticin"
"688","3-Hydroxyisovalerylcarnitine"
"689","N-(3-acetamidopropyl)pyrrolidin-2-one"
"690","N-Acetylisoleucine"
"691","LysoPI(20:4(5Z,8Z,11Z,14Z)/0:0)"
"692","LysoPI(16:0/0:0)"
"693","LysoPC(0:0/20:4(5Z,8Z,11Z,14Z))"
"694","LysoPC(0:0/18:2(9Z,12Z))"
"695","6-Oxopiperidine-2-carboxylic acid"
"696","Succinylcarnitine"
"697","N-Acetyl-beta-alanine"
"698","2-Hydroxyacetaminophen sulfate"
"699","2-Hydroxystearic acid"
"700","2-Methoxyacetaminophen sulfate"
"701","hydroxyisovaleroyl carnitine"
"702","N-Acetylthreonine"
"703","Pyroglutamine"
"704","Epiandrosterone sulfate"
"705","TG(17:0/18:1(9Z)/18:1(9Z))"
"706","Thymol Sulfate"
"707","4-Vinylphenol sulfate"
"708","2-Aminoheptanoate"
"709","5alpha-Pregnan-3beta,20alpha-diol disulfate"
"710","Octadecenoylcarnitine"
"711","N-Methyl-L-proline"
"712","PS(22:2(13Z,16Z)/18:1(9Z))"
"713","PA(20:2(11Z,14Z)/14:0)"
"714","PS(22:1(13Z)/18:4(6Z,9Z,12Z,15Z))"
"715","3-(Cystein-S-yl)acetaminophen"
"716","cis-Vaccenic acid"
"717","N-Acetyltaurine"
"718","Tryptophan 2-C-mannoside"
"719","4-Androsten-3beta,17beta-diol disulfate"
"720","2'-O-Methyluridine"
"721","N-Acetyl-1-methylhistidine"
"722","2-Hydroxyisovalerylcarnitine"
"723","4-Androsten-3beta,17beta-diol 17-sulfate"
"724","4-Methylcatechol 1-sulfate"
"725","5alpha-Pregnan-3beta,20beta-diol 3-sulfate"
"726","cis-4-Decenoylcarnitine"
"727","N5-Acetylornithine"
"728","SM(d18:1/15:0)"
"729","SM(d18:1/20:1(11Z))"
"730","SM(d18:1/16:1(9Z))"
"731","SM(d18:1/23:1(9Z))"
"732","SM(d18:1/24:2(5Z,9Z))"
"733","SM(d18:2(4E,14Z)/16:0)"
"734","3-Hydroxypyridine sulfate"
"735","3-Methylcatechol 1-sulfate"
"736","2'-O-Methylcytidine"
"737","2-Hydroxyisobutyrate"
"738","4-Methylcatechol sulfate"
"739","Glycocholenate sulfate"
"740","Hexanoylglutamine"
"741","Eicosa-11,14,17-trienoic acid"
"742","Decenoylcarnitine"
"743","Hexadecenoylcarnitine"
"744","Octadecadienylcarnitine"
"745","S-N-Methylcysteine"
"746","acetoacetate"
"747","Glucose"
"748","D(-)-beta-hydroxy butyric acid"
"749","Hexanoylcarnitine"
"750","PE(16:0/18:1(9Z))"
"751","PE(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))"
"752","11Z-Octadecenylcarnitine"
"753","gamma-Glutamylmethionine"
"754","O-(2-tetradecenoyl)carnitine"
"755","Eugenol sulfate"
"756","Albumin"
"757","1-eicosatrienoylglycerophosphocholine"
"758","4-acetylphenol sulfate"
"759","4-androsten-3alpha,17alpha-diol monosulfate (2)"
"760","4-methylhexanoylglutamine"
"761","4-methylhexanoylglycine"
"762","5alpha-androstan-3alpha,17beta-diol monosulfate (1)"
"763","5alpha-pregnan-3beta,20alpha-diol monosulfate (2)"
"764","ADpSGEGDFXAEGGGVR"
"765","ADSGEGDFXAEGGGVR"
"766","ApoA1"
"767","Apolipoprotein A1"
"768","ApoB"
"769","Apolipoprotein B"
"770","BA(DCA)_[M-H]1-"
"771","BCAAs"
"772","beta-guanidinopropanoate"
"773","514.2839_1.516229"
"774","498.2847_2.001083"
"775","C16:0Mol%"
"776","CE(20:4)_[M+NH4]1+"
"777","Cer Saturated"
"778","Cer Unsaturated"
"779","Cer(40:0)_[M-H]1-"
"780","Cer_40:1_[M-H]1-"
"781","Cer(40:1)_[M-H]1-"
"782","Cer(40:2)_[M-H]1-"
"783","Cer(41:0)_[M-H]1-"
"784","Cer_41:1_[M-H]1-"
"785","Cer(41:1)_[M-H]1-"
"786","Cer(41:2)_[M-H]1-"
"787","Cer(42:0)_[M-H]1-"
"788","Cer_42:1_[M+H-H2O]1+"
"789","Cer_42:2_[M-H]1-"
"790","Cer_42:2_[M+H-H2O]1+"
"791","Cer20:0Mol%"
"792","Ceramide phosphoethanolamine 38:2 (CerPE 38:2)"
"793","CH2 groups of mobile lipids (MobCH2)"
"794","CH3 groups of mobile lipids (MobCH3)"
"795","Total cholines"
"796","circulating 17:0"
"797","circulating 19:0"
"798","citraconate/glutaconate"
"799","Clinical LDL cholesterol"
"800","Concentration of chylomicrons (ultra-low density lipoprotein) and largest VLDL particles (CM-LAR-VLDL-P)"
"801","Concentration of medium HDL particles"
"802","Degree of unsaturation"
"803","Dihydroxy docosatrienoic acid"
"804","361.2394_3.814083"
"805","343.2273_5.3095"
"806","519.2493_2.479"
"807","329.2496_6.459583"
"808","329.2487_6.505833"
"809","Double bond protons of mobile lipids (MobCH)"
"810","DSGEGDFXAEGGGVR"
"811","319.2281_4.773"
"812","321.244_5.395833"
"813","327.2179_4.033"
"814","331.1917_3.5705"
"815","331.1917_3.515"
"816","333.2075_3.323833"
"817","333.2075_3.280667"
"818","293.2125_4.760667"
"819","335.2232_2.6455"
"820","337.2383_4.187167"
"821","337.2366_3.114167"
"822","337.2381_3.545833"
"823","343.2283_4.30125"
"824","343.2279_4.7545"
"825","343.2256_4.6065"
"826","343.2281_4.67125"
"827","353.2342_1.985667"
"828","287.1686_3.601333"
"829","361.2385_3.268333"
"830","361.2394_3.471833"
"831","361.2395_3.499583"
"832","297.2437_4.640417"
"833","297.2437_4.723667"
"834","363.2545_3.804833"
"835","299.2595_5.397375"
"836","375.2203_2.405"
"837","391.2199_2.491333"
"838","307.1905_2.485167"
"839","307.1912_2.522167"
"840","309.2031_3.675333"
"841","309.2076_3.82025"
"842","309.2072_3.7555"
"843","311.2232_4.359833"
"844","313.2387_3.231333"
"845","313.2388_4.995"
"846","315.1999_4.436916"
"847","317.2125_5.266333"
"848","317.2122_4.0145"
"849","317.2109_4.341333"
"850","317.2124_4.137833"
"851","291.1969_4.6805"
"852","291.1968_4.736"
"853","317.2122_3.675333"
"854","319.2281_4.655833"
"855","399.1944_1.739"
"856","379.2471_4.729833"
"857","373.2598_3.474916"
"858","379.2488_4.9395"
"859","279.1966_3.724667"
"860","339.2179_3.650667"
"861","351.2162_3.57975"
"862","351.2163_3.478"
"863","333.2051_4.415333"
"864","333.2051_4.353667"
"865","355.2445_2.3125"
"866","355.2492_4.477"
"867","353.2309_4.655833"
"868","309.2074_4.094666"
"869","369.2285_4.187167"
"870","495.2606_3.058667"
"871","381.2685_5.76275"
"872","379.2488_4.646584"
"873","403.2265_1.412167"
"874","321.2438_5.950833"
"875","335.2231_4.255"
"876","337.2389_4.329"
"877","319.228_5.673333"
"878","335.2231_2.6085"
"879","291.1963_4.242667"
"880","331.2679_6.527417"
"881","303.2329_6.444167"
"882","301.2177_6.253"
"883","331.1902_2.466667"
"884","265.1808_3.632167"
"885","265.181_3.5705"
"886","358.2962_6.259167"
"887","438.2906_6.209833"
"888","438.2916_6.129667"
"889","384.312_6.357833"
"890","Esterified cholesterol"
"891","FA(16:1)_[M-H]1-"
"892","FA(18:4)_[M-H]1-"
"893","FA(20:3)_[M-H]1-"
"894","FA(20:4)_[M-H]1-"
"895","FA(22:4)_[M-H]1-"
"896","FA(22:5)_[M-H]1-"
"897","FA(22:6)_[M-H]1-"
"898","631.4707_6.413333"
"899","583.4711_6.459583"
"900","607.4786_6.441083"
"901","633.4904_6.4565"
"902","FALen"
"903","FAw6"
"904","FAw67"
"905","FAw79S"
"906","FAw9S"
"907","277.2179_6.405625"
"908","277.2173_6.348583"
"909","305.2518_6.499667"
"910","365.2705_6.468833"
"911","365.2681_6.599875"
"912","367.2889_6.536667"
"913","339.2539_6.425667"
"914","339.2559_6.490417"
"915","341.2698_6.549771"
"916","253.2175_6.55825"
"917","313.2387_6.388667"
"918","275.2018_5.889167"
"919","FR"
"920","Free cholesterol"
"921","GluCer16:0Mol%"
"922","GluCer24:1Mol%"
"923","GluCerMol%"
"924","Glycoprotein acetyls"
"925","glycochenodeoxycholate glucuronide (1)"
"926","glycodeoxycholate sulfate"
"927","Glycoprotein acetyls (Gp)"
"928","HDL"
"929","HDL cholesterol"
"930","Cholesteryl esters in HDL"
"931","Free cholesterol in HDL"
"932","Total lipids in HDL"
"933","Concentration of HDL particles"
"934","Phospholipids in HDL"
"935","Average diameter for HDL particles"
"936","Triglycerides in HDL"
"937","HDL2-C"
"938","HDL3-C"
"939","HDL-C"
"940","HDL-D"
"941","heptanoylglutamine"
"942","HWESASXX"
"943","HWESASXX*"
"944","Cholesterol in IDL"
"945","Cholesteryl esters in IDL"
"946","Free cholesterol in IDL"
"947","Total lipids in IDL"
"948","Concentration of IDL particles"
"949","Phospholipids in IDL"
"950","Triglycerides in IDL"
"951","IDL-C"
"952","IDL-FC"
"953","IDL-L"
"954","IDL-P"
"955","IDL-PL"
"956","IDL-TG"
"957","isocaproylglutamine"
"958","isocaproylglycine"
"959","Cholesterol in large HDL"
"960","Cholesteryl esters in large HDL"
"961","Free cholesterol in large HDL"
"962","Total lipids in large HDL"
"963","Concentration of large HDL particles"
"964","Phospholipids in large HDL"
"965","Triglycerides in large HDL"
"966","Cholesterol in large LDL"
"967","Cholesteryl esters in large LDL"
"968","Free cholesterol in large LDL"
"969","Total lipids in large LDL"
"970","Concentration of large LDL particles"
"971","Phospholipids in large LDL"
"972","Triglycerides in large LDL"
"973","Cholesterol in large VLDL"
"974","Cholesteryl esters in large VLDL"
"975","Free cholesterol in large VLDL"
"976","Total lipids in large VLDL"
"977","Concentration of large VLDL particles"
"978","Phospholipids in large VLDL"
"979","Triglycerides in large VLDL"
"980","LDL"
"981","LDL cholesterol"
"982","Cholesteryl esters in LDL"
"983","Free cholesterol in LDL"
"984","Total lipids in LDL"
"985","Concentration of LDL particles"
"986","Phospholipids in LDL"
"987","Average diameter for LDL particles"
"988","Triglycerides in LDL"
"989","LDL-C"
"990","LDL-D"
"991","L-HDL-C"
"992","L-HDL-CE"
"993","L-HDL-FC"
"994","L-HDL-L"
"995","L-HDL-P"
"996","L-HDL-PL"
"997","L-LDL-C"
"998","L-LDL-CE"
"999","L-LDL-FC"
"1000","L-LDL-L"
"1001","L-LDL-P"
"1002","L-LDL-PL"
"1003","LPC20:3LPC20:0"
"1004","LPC-2O_18:0_[M+H]1+"
"1005","LPE-O_18:1_[M-H]1- / LPE-P_18:0_[M-H]1-"
"1006","LPE-P_20:0_[M-H]1-"
"1007","L-VLDL-C"
"1008","L-VLDL-CE"
"1009","L-VLDL-FC"
"1010","L-VLDL-L"
"1011","L-VLDL-P"
"1012","L-VLDL-PL"
"1013","L-VLDL-TG"
"1014","Cholesterol in medium HDL"
"1015","Cholesteryl esters in medium HDL"
"1016","Free cholesterol in medium HDL"
"1017","Total lipids in medium HDL"
"1018","Phospholipids in medium HDL"
"1019","Triglycerides in medium HDL"
"1020","Cholesterol in medium LDL"
"1021","Cholesteryl esters in medium LDL"
"1022","Free cholesterol in medium LDL"
"1023","Total lipids in medium LDL"
"1024","Concentration of medium LDL particles"
"1025","Phospholipids in medium LDL"
"1026","Triglycerides in medium LDL"
"1027","Cholesterol in medium VLDL"
"1028","Cholesteryl esters in medium VLDL"
"1029","Free cholesterol in medium VLDL"
"1030","Total lipids in medium VLDL"
"1031","Concentration of medium VLDL particles"
"1032","Phospholipids in medium VLDL"
"1033","Triglycerides in medium VLDL"
"1034","M-HDL-C"
"1035","M-HDL-CE"
"1036","M-HDL-FC"
"1037","M-HDL-L"
"1038","M-HDL-P"
"1039","M-HDL-PL"
"1040","M-LDL-C"
"1041","M-LDL-CE"
"1042","M-LDL-L"
"1043","M-LDL-P"
"1044","M-LDL-PL"
"1045","MUFA"
"1046","Monounsaturated fatty acids"
"1047","M-VLDL-C"
"1048","M-VLDL-CE"
"1049","M-VLDL-FC"
"1050","M-VLDL-L"
"1051","M-VLDL-P"
"1052","M-VLDL-PL"
"1053","M-VLDL-TG"
"1054","228.1599_2.676333"
"1055","255.1138_0.8448333"
"1056","255.1139_1.023667"
"1057","255.1139_1.412167"
"1058","255.1139_1.4615"
"1059","255.114_1.3135"
"1060","256.1171_0.8448333"
"1061","256.1171_1.023667"
"1062","256.1172_1.3135"
"1063","256.1187_1.384417"
"1064","273.1247_0.8448333"
"1065","273.1248_0.925"
"1066","274.1282_0.8386667"
"1067","283.109_1.615667"
"1068","283.109_1.665"
"1069","283.114_1.74825"
"1070","284.1122_1.621833"
"1071","284.1122_1.671167"
"1072","284.1125_1.759042"
"1073","299.1008_1.319667"
"1074","299.1072_1.430667"
"1075","313.1197_1.856167"
"1076","313.1197_1.991833"
"1077","313.1198_1.695833"
"1078","313.1198_1.825333"
"1079","313.1198_2.072"
"1080","313.1199_1.34125"
"1081","314.123_1.856167"
"1082","314.123_1.985667"
"1083","314.1233_1.825333"
"1084","314.1234_1.689667"
"1085","317.1144_1.208667"
"1086","317.1145_0.8386667"
"1087","317.1145_0.9188333"
"1088","317.1145_1.048333"
"1089","318.1176_0.7646667"
"1090","318.1178_0.8325"
"1091","318.1178_1.208667"
"1092","318.1179_1.048333"
"1093","331.1301_1.066833"
"1094","331.1303_1.30425"
"1095","331.1303_1.436833"
"1096","333.1095_0.8479167"
"1097","345.1458_1.418333"
"1098","345.1458_1.492333"
"1099","345.1459_1.517"
"1100","346.1497_1.418333"
"1101","373.1407_1.689667"
"1102","373.1411_1.825333"
"1103","374.1438_1.689667"
"1104","375.1199_1.131583"
"1105","375.12_1.236417"
"1106","427.148_1.418333"
"1107","432.193_1.874667"
"1108","432.1971_1.899333"
"1109","466.2515_2.463583"
"1110","476.1826_2.59"
"1111","492.178_1.930167"
"1112","547.25_2.457417"
"1113","595.2197_2.331"
"1114","595.2202_2.35875"
"1115","596.2212_2.35875"
"1116","597.2313_1.976417"
"1117","598.2391_1.973333"
"1118","599.2408_1.9795"
"1119","613.2303_1.853083"
"1120","613.2305_1.772917"
"1121","613.2305_1.80375"
"1122","613.2305_1.883917"
"1123","614.2369_1.856167"
"1124","614.2373_1.890083"
"1125","631.2405_2.492875"
"1126","631.242_1.615667"
"1127","632.245_2.485167"
"1128","647.2366_1.751333"
"1129","273.1247_0.7708333"
"1130","273.1245_0.9866667"
"1131","255.1139_1.492333"
"1132","311.6662_2.084333"
"1133","317.1145_0.7708333"
"1134","339.0965_0.8386667"
"1135","289.1199_0.8386667"
"1136","633.2587_1.4245"
"1137","440.1473_1.529333"
"1138","624.3398_2.084333"
"1139","629.2305_1.826104"
"1140","312.1702_2.08125"
"1141","648.2399_2.559167"
"1142","345.1461_1.615667"
"1143","256.1172_0.8756667"
"1144","332.1341_1.0545"
"1145","274.1283_0.9188333"
"1146","256.1171_1.4615"
"1147","332.1336_1.288833"
"1148","241.0981_1.819167"
"1149","647.2366_2.565333"
"1150","273.1245_0.8818333"
"1151","289.1198_0.8725833"
"1152","271.1089_0.8695"
"1153","241.0991_1.686583"
"1154","597.2366_2.35875"
"1155","367.1291_1.3135"
"1156","255.1139_1.184"
"1157","432.1901_2.001083"
"1158","341.1505_2.582292"
"1159","440.1469_1.634167"
"1160","297.1604_2.620833"
"1161","374.1443_1.819167"
"1162","444.2147_1.557083"
"1163","647.2423_2.620833"
"1164","415.0806_0.8386667"
"1165","537.2524_2.892167"
"1166","319.1199_0.7739167"
"1167","399.1176_0.7646667"
"1168","299.1034_0.9188333"
"1169","315.0998_0.9126667"
"1170","415.0829_0.7708333"
"1171","359.1603_1.69275"
"1172","316.1086_0.814"
"1173","648.2412_2.661687"
"1174","329.1185_1.295"
"1175","347.1252_1.288833"
"1176","311.1015_1.291917"
"1177","330.1505_1.160875"
"1178","256.1171_1.492333"
"1179","346.1496_1.48925"
"1180","331.1301_1.17475"
"1181","595.2202_1.908583"
"1182","329.1147_1.436833"
"1183","615.2465_1.036"
"1184","340.1001_0.8479167"
"1185","360.1651_1.689667"
"1186","237.1494_2.22"
"1187","415.1126_0.814"
"1188","255.1132_1.245667"
"1189","238.108_1.0545"
"1190","635.2128_1.843833"
"1191","299.1035_1.492333"
"1192","359.1617_1.584833"
"1193","339.0966_1.208667"
"1194","319.1199_0.9311666"
"1195","256.1189_0.925"
"1196","299.1042_1.171667"
"1197","625.3502_2.093583"
"1198","347.1245_1.430667"
"1199","263.0901_2.559167"
"1200","256.1169_1.190167"
"1201","361.1405_1.421417"
"1202","255.1139_0.9558333"
"1203","299.1029_1.455333"
"1204","313.1199_1.274188"
"1205","311.1042_1.449167"
"1206","347.1248_1.11"
"1207","466.2509_1.800667"
"1208","334.1145_0.8386667"
"1209","616.2495_1.122333"
"1210","443.209_1.554"
"1211","312.669_2.096667"
"1212","469.1609_1.939417"
"1213","347.125_1.325833"
"1214","333.1099_0.74"
"1215","632.2437_1.615667"
"1216","421.0992_0.8910834"
"1217","345.1458_1.652667"
"1218","314.1234_1.073"
"1219","615.2456_1.126958"
"1220","238.1079_1.005167"
"1221","376.1154_1.991833"
"1222","315.0999_0.9589167"
"1223","615.2481_2.74725"
"1224","339.0983_0.7708333"
"1225","456.2311_2.213833"
"1226","469.1606_2.038084"
"1227","611.2153_1.769833"
"1228","433.1929_1.911667"
"1229","616.25_1.029833"
"1230","360.1651_1.584833"
"1231","399.1178_0.8587084"
"1232","400.1204_0.7739167"
"1233","313.1197_1.924"
"1234","314.1028_1.56325"
"1235","379.1481_0.6721666"
"1236","492.1797_1.873125"
"1237","494.194_1.436833"
"1238","617.2438_1.037542"
"1239","297.1608_2.540667"
"1240","314.123_1.245667"
"1241","332.1339_1.436833"
"1242","494.1942_1.325833"
"1243","355.0906_0.827875"
"1244","288.0879_1.381333"
"1245","359.1617_1.782167"
"1246","316.1024_0.8756667"
"1247","271.1096_0.9589167"
"1248","353.0902_0.9280833"
"1249","495.2601_1.97025"
"1250","433.0552_0.8448333"
"1251","646.3215_2.078167"
"1252","399.1174_0.925"
"1253","345.1458_1.375167"
"1254","315.0999_1.455333"
"1255","316.1056_0.9126667"
"1256","321.0865_0.925"
"1257","434.0536_0.851"
"1258","647.2365_2.4235"
"1259","367.1295_1.455333"
"1260","297.1249_1.5355"
"1261","476.1853_1.597938"
"1262","421.0999_0.7739167"
"1263","613.2407_1.560167"
"1264","274.1286_0.9805"
"1265","256.1172_0.9558333"
"1266","339.0965_0.925"
"1267","230.1183_0.925"
"1268","380.6653_0.9458125"
"1269","315.098_1.208667"
"1270","303.1624_2.324833"
"1271","381.14_0.6845"
"1272","619.2145_1.976417"
"1273","415.0806_0.9219167"
"1274","433.1921_1.871583"
"1275","329.6495_1.184"
"1276","353.1165_1.00825"
"1277","428.2194_2.457417"
"1278","329.115_1.652667"
"1279","302.6602_2.3495"
"1280","470.1639_1.9425"
"1281","231.0772_1.325833"
"1282","300.1082_1.492333"
"1283","630.2281_1.695833"
"1284","321.0866_0.8124583"
"1285","634.2598_1.418333"
"1286","438.2265_1.862333"
"1287","615.2605_2.041167"
"1288","629.2191_2.010333"
"1289","611.3398_2.491333"
"1290","545.2019_2.861333"
"1291","314.1025_1.449167"
"1292","314.1225_2.028833"
"1293","598.2404_1.763667"
"1294","333.1096_0.9496667"
"1295","434.0547_0.777"
"1296","242.1012_1.689667"
"1297","413.133_1.060667"
"1298","516.3191_2.420417"
"1299","631.2404_2.380333"
"1300","333.1097_0.703"
"1301","317.1155_0.6845"
"1302","340.1_0.9311666"
"1303","318.1183_0.8016667"
"1304","649.244_2.559167"
"1305","318.1231_1.436833"
"1306","355.0903_0.9126667"
"1307","629.2422_1.612583"
"1308","321.0887_1.406"
"1309","349.0963_1.695833"
"1310","329.6497_1.1285"
"1311","312.1844_2.516"
"1312","349.104_0.9496667"
"1313","367.1276_1.418333"
"1314","444.2086_1.7945"
"1315","335.1212_0.8109167"
"1316","493.1805_1.927083"
"1317","381.1434_1.689667"
"1318","635.2107_1.89625"
"1319","351.0934_1.998"
"1320","335.161_1.591"
"1321","635.2357_0.8448333"
"1322","347.1534_1.418333"
"1323","333.1095_0.7831666"
"1324","433.0558_0.777"
"1325","325.6821_1.806833"
"1326","538.2551_2.836667"
"1327","238.1082_1.197875"
"1328","433.1923_1.994917"
"1329","301.1175_0.9003333"
"1330","551.3237_1.967167"
"1331","315.125_1.856167"
"1332","319.1199_0.8448333"
"1333","335.0994_1.714333"
"1334","345.1459_1.245667"
"1335","300.1076_1.412167"
"1336","497.087_0.8386667"
"1337","475.101_0.7708333"
"1338","632.2388_1.7945"
"1339","332.1339_1.196333"
"1340","601.2895_1.148542"
"1341","443.2112_1.591"
"1342","400.1198_0.8386667"
"1343","432.1932_1.7945"
"1344","582.2423_1.604875"
"1345","349.0963_1.813"
"1346","297.1247_2.010333"
"1347","299.6389_1.153167"
"1348","313.1703_2.078167"
"1349","263.096_2.657833"
"1350","446.2887_1.788333"
"1351","617.2009_2.374167"
"1352","439.1143_1.634167"
"1353","329.1149_1.011333"
"1354","599.2511_0.7847083"
"1355","328.2499_2.818167"
"1356","427.2162_2.411167"
"1357","315.1002_1.566333"
"1358","584.2599_0.7785417"
"1359","330.11_1.862333"
"1360","376.1236_1.116167"
"1361","411.1776_0.8957083"
"1362","349.0963_1.8685"
"1363","349.0963_1.991833"
"1364","633.2225_0.892625"
"1365","334.1133_0.9065"
"1366","597.2355_0.851"
"1367","357.1099_1.338167"
"1368","600.2856_1.167042"
"1369","274.1299_0.8818333"
"1370","583.2568_0.9566042"
"1371","633.2423_2.466667"
"1372","339.097_0.8818333"
"1373","349.1035_1.0915"
"1374","330.11_1.739"
"1375","376.1156_1.862333"
"1376","567.318_2.67325"
"1377","431.0551_0.8386667"
"1378","568.3214_2.688667"
"1379","606.33_2.355667"
"1380","399.1187_0.8016667"
"1381","416.0822_0.8448333"
"1382","372.1936_2.1275"
"1383","649.2427_2.596167"
"1384","355.0913_0.9743333"
"1385","373.1408_0.8325"
"1386","569.3273_2.685583"
"1387","375.0706_0.7800833"
"1388","395.1205_1.856167"
"1389","348.1281_1.307333"
"1390","612.3877_2.845917"
"1391","420.0399_0.9959167"
"1392","381.1667_0.9558333"
"1393","648.2394_1.739"
"1394","503.1349_1.412167"
"1395","466.2537_2.639333"
"1396","611.3812_2.842834"
"1397","439.2259_1.862333"
"1398","415.0836_1.048333"
"1399","614.2479_2.012646"
"1400","599.2216_0.8849167"
"1401","259.0728_0.8695"
"1402","592.3414_1.800667"
"1403","306.0988_0.8818333"
"1404","319.1297_0.8170834"
"1405","616.2501_2.7195"
"1406","317.666_2.028833"
"1407","330.1172_1.301167"
"1408","439.1138_1.5355"
"1409","444.2141_1.453792"
"1410","647.2382_2.4605"
"1411","599.2504_0.7461667"
"1412","417.0398_0.84175"
"1413","342.1537_2.627"
"1414","428.1508_1.418333"
"1415","423.1199_1.899333"
"1416","329.1071_1.486167"
"1417","648.24_2.420417"
"1418","612.3534_2.243125"
"1419","242.1014_1.819167"
"1420","624.3396_2.156792"
"1421","595.2205_2.435833"
"1422","375.0692_0.84175"
"1423","612.3495_2.516"
"1424","249.1108_2.693292"
"1425","625.3412_2.15525"
"1426","516.3199_2.5345"
"1427","635.2355_0.7708333"
"1428","625.3601_2.7565"
"1429","306.0987_0.8201666"
"1430","431.055_0.7708333"
"1431","600.2549_0.7831666"
"1432","435.0538_0.84175"
"1433","411.6777_0.86025"
"1434","413.1305_1.288833"
"1435","313.1205_0.7924167"
"1436","317.1223_1.677333"
"1437","285.1157_1.689667"
"1438","365.1299_0.666"
"1439","470.1646_2.035"
"1440","443.2114_1.464583"
"1441","410.6761_0.8633333"
"1442","312.1764_2.7565"
"1443","438.2255_1.924"
"1444","635.2318_0.744625"
"1445","597.236_0.8818333"
"1446","562.2996_2.3125"
"1447","273.1248_1.436833"
"1448","600.2549_0.74"
"1449","371.1903_2.22925"
"1450","316.1032_0.9743333"
"1451","625.3598_2.623917"
"1452","599.2518_0.8571666"
"1453","490.0695_0.8386667"
"1454","311.6661_2.158333"
"1455","346.1502_1.369"
"1456","369.1807_2.713333"
"1457","250.1142_2.6825"
"1458","434.0527_0.925"
"1459","625.3474_2.215375"
"1460","598.2402_2.355667"
"1461","312.1677_2.158333"
"1462","627.3669_2.670167"
"1463","423.1199_2.022667"
"1464","626.3632_2.620833"
"1465","373.1407_0.9558333"
"1466","595.3394_2.540667"
"1467","466.2534_1.9055"
"1468","616.2801_0.8386667"
"1469","303.6638_2.361833"
"1470","557.2986_1.458417"
"1471","359.6599_2.1645"
"1472","433.0547_0.925"
"1473","466.2578_2.54375"
"1474","349.1045_0.6598333"
"1475","612.2242_1.7575"
"1476","647.2381_2.750333"
"1477","346.1502_1.251833"
"1478","469.1878_1.39675"
"1479","452.1802_2.48825"
"1480","453.15_0.8479167"
"1481","582.2565_1.779083"
"1482","343.169_0.6814166"
"1483","238.1081_0.9311666"
"1484","416.0887_0.7800833"
"1485","478.1969_0.6721666"
"1486","239.1287_2.331"
"1487","446.2917_1.837667"
"1488","387.1852_1.412167"
"1489","305.1699_2.500583"
"1490","455.2291_2.226167"
"1491","256.1219_1.739"
"1492","274.1284_1.436833"
"1493","609.3492_2.639333"
"1494","312.6689_2.158333"
"1495","357.1079_1.177833"
